Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-23 17:00:00,Singapore,1.357107,103.81949920000001,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-01-24 17:00:00,Singapore,1.357107,103.81949920000001,0.0,3.0,0.0,0.0,3.0,3.0,1,1,1,1,0.0,3.0,0.0,0.0,3.0,0.0,,,2.0,0.0,0.0,0.0,3.0
2020-01-25 17:00:00,Singapore,1.357107,103.81949920000001,0.0,3.0,0.0,0.0,3.0,3.0,2,2,2,2,0.0,3.0,0.0,0.0,3.0,0.0,,,0.0,0.0,0.0,0.0,3.0
2020-01-26 16:00:00,Singapore,1.357107,103.81949920000001,0.0,4.0,0.0,0.0,4.0,4.0,3,3,3,3,0.0,4.0,0.0,0.0,4.0,0.0,,,0.333,0.0,0.0,0.0,5.0
2020-01-27 23:59:00,Singapore,1.357107,103.81949920000001,0.0,5.0,0.0,0.0,5.0,5.0,4,4,4,4,0.0,5.0,0.0,0.0,5.0,0.0,,,0.25,0.0,0.0,0.0,6.0
2020-01-28 23:00:00,Singapore,1.357107,103.81949920000001,0.0,7.0,0.0,0.0,7.0,7.0,5,5,5,5,0.0,7.0,0.0,0.0,7.0,0.0,,,0.4,0.0,0.0,0.0,8.0
2020-01-29 19:30:00,Singapore,1.357107,103.81949920000001,0.0,7.0,0.0,0.0,7.0,7.0,6,6,6,6,0.0,7.0,0.0,0.0,7.0,0.0,,,0.0,0.0,0.0,0.0,8.0
2020-01-30 16:00:00,Singapore,1.357107,103.81949920000001,0.0,10.0,0.0,0.0,10.0,10.0,7,7,7,7,0.0,10.0,0.0,0.0,10.0,0.0,,,0.429,0.0,0.0,0.0,11.0
2020-01-31 23:59:00,Singapore,1.357107,103.81949920000001,0.0,13.0,0.0,0.0,13.0,13.0,8,8,8,8,0.0,13.0,0.0,0.0,13.0,0.0,,,0.3,0.0,0.0,0.0,15.0
2020-02-01 05:37:00,Singapore,1.357107,103.81949920000001,0.0,16.0,0.0,0.0,16.0,16.0,9,9,9,9,0.0,16.0,0.0,0.0,16.0,0.0,,,0.231,0.0,0.0,0.0,18.0
2020-02-02 01:03:32,Singapore,2.714214,207.63899840000002,0.0,36.0,0.0,0.0,36.0,36.0,21,21,21,21,0.0,36.0,0.0,0.0,36.0,0.0,,,1.25,0.0,0.0,0.0,41.0
2020-02-04 15:33:03,Singapore,1.357107,103.81949920000001,0.0,24.0,0.0,0.0,24.0,24.0,12,12,12,12,0.0,24.0,0.0,0.0,24.0,0.0,,,-0.333,0.0,0.0,0.0,27.0
2020-02-05 16:33:03,Singapore,2.714214,207.63899840000002,0.0,56.0,0.0,0.0,56.0,56.0,27,27,27,27,0.0,56.0,0.0,0.0,56.0,0.0,,,1.333,0.0,0.0,0.0,64.0
2020-02-07 03:03:03,Singapore,1.357107,103.81949920000001,0.0,30.0,0.0,0.0,30.0,30.0,15,15,15,15,0.0,30.0,0.0,0.0,30.0,0.0,,,-0.464,0.0,0.0,0.0,34.0
2020-02-08 12:53:01,Singapore,1.357107,103.81949920000001,0.0,33.0,0.0,2.0,33.0,31.0,16,16,16,16,0.0,33.0,0.0,2.0,31.0,0.0,,inf,0.1,0.0,0.0,0.0,38.0
2020-02-09 02:43:02,Singapore,1.357107,103.81949920000001,0.0,40.0,0.0,2.0,40.0,38.0,17,17,17,17,0.0,40.0,0.0,2.0,38.0,0.0,,0.0,0.212,0.0,0.0,0.0,46.0
2020-02-10 19:03:02,Singapore,1.357107,103.81949920000001,0.0,45.0,0.0,2.0,45.0,43.0,18,18,18,18,0.0,45.0,0.0,2.0,43.0,0.0,,0.0,0.125,0.0,0.0,0.0,51.0
2020-02-11 16:43:06,Singapore,1.357107,103.81949920000001,0.0,47.0,0.0,9.0,47.0,38.0,19,19,19,19,0.0,47.0,0.0,9.0,38.0,0.0,,3.5,0.044,0.0,0.0,0.0,54.0
2020-02-12 19:53:02,Singapore,1.357107,103.81949920000001,0.0,50.0,0.0,15.0,50.0,35.0,20,20,20,20,0.0,50.0,0.0,15.0,35.0,0.0,,0.667,0.064,0.0,0.0,0.0,57.0
2020-02-13 14:33:02,Singapore,1.357107,103.81949920000001,0.0,58.0,0.0,15.0,58.0,43.0,21,21,21,21,0.0,58.0,0.0,15.0,43.0,0.0,,0.0,0.16,0.0,0.0,0.0,66.0
2020-02-14 12:43:02,Singapore,1.357107,103.81949920000001,0.0,67.0,0.0,17.0,67.0,50.0,22,22,22,22,0.0,67.0,0.0,17.0,50.0,0.0,,0.133,0.155,0.0,0.0,0.0,76.0
2020-02-15 23:53:02,Singapore,1.357107,103.81949920000001,0.0,72.0,0.0,18.0,72.0,54.0,23,23,23,23,0.0,72.0,0.0,18.0,54.0,0.0,,0.059,0.075,0.0,0.0,0.0,82.0
2020-02-16 16:23:06,Singapore,1.357107,103.81949920000001,0.0,75.0,0.0,18.0,75.0,57.0,24,24,24,24,0.0,75.0,0.0,18.0,57.0,0.0,,0.0,0.042,0.0,0.0,0.0,85.0
2020-02-17 14:33:04,Singapore,1.357107,103.81949920000001,0.0,77.0,0.0,24.0,77.0,53.0,25,25,25,25,0.0,77.0,0.0,24.0,53.0,0.0,,0.333,0.027,0.0,0.0,0.0,88.0
2020-02-18 16:53:03,Singapore,1.357107,103.81949920000001,0.0,81.0,0.0,29.0,81.0,52.0,26,26,26,26,0.0,81.0,0.0,29.0,52.0,0.0,,0.208,0.052,0.0,0.0,0.0,92.0
2020-02-19 22:13:08,Singapore,2.714214,207.63899840000002,0.0,168.0,0.0,68.0,168.0,100.0,55,55,55,55,0.0,168.0,0.0,68.0,100.0,0.0,,1.345,1.074,0.0,0.0,0.0,192.0
2020-02-21 03:43:02,Singapore,2.714214,207.63899840000002,0.0,170.0,0.0,74.0,170.0,96.0,59,59,59,59,0.0,170.0,0.0,74.0,96.0,0.0,,0.088,0.012,0.0,0.0,0.0,194.0
2020-02-23 15:13:15,Singapore,2.714214,207.63899840000002,0.0,178.0,0.0,102.0,178.0,76.0,63,63,63,63,0.0,178.0,0.0,102.0,76.0,0.0,,0.378,0.047,0.0,0.0,0.0,203.0
2020-02-25 18:55:32,Singapore,1.357107,103.81949920000001,0.0,91.0,0.0,53.0,91.0,38.0,33,33,33,33,0.0,91.0,0.0,53.0,38.0,0.0,,-0.48,-0.489,0.0,0.0,0.0,104.0
2020-02-26 19:33:02,Singapore,4.071321,311.45849760000004,0.0,279.0,0.0,186.0,279.0,93.0,105,105,105,105,0.0,279.0,0.0,186.0,93.0,0.0,,2.509,2.066,0.0,0.0,0.0,318.0
2020-02-29 14:33:03,Singapore,1.357107,103.81949920000001,0.0,102.0,0.0,72.0,102.0,30.0,37,37,37,37,0.0,102.0,0.0,72.0,30.0,0.0,,-0.613,-0.634,0.0,0.0,0.0,116.0
2020-03-01 23:23:02,Singapore,0.0,0.0,0.0,106.0,0.0,72.0,106.0,34.0,38,2275,38,38,0.0,106.0,0.0,72.0,34.0,0.0,,0.0,0.039,0.0,0.0,0.0,121.0
2020-03-02 20:33:02,Singapore,0.0,0.0,0.0,108.0,0.0,78.0,108.0,30.0,39,2424,39,39,0.0,108.0,0.0,78.0,30.0,0.0,,0.083,0.019,0.0,0.0,0.0,123.0
2020-03-03 15:23:03,Singapore,0.0,0.0,0.0,220.0,0.0,156.0,220.0,64.0,81,5113,81,81,0.0,220.0,0.0,156.0,64.0,0.0,,1.0,1.037,0.0,0.0,0.0,251.0
2020-03-05 13:43:04,Singapore,0.0,0.0,0.0,117.0,0.0,78.0,117.0,39.0,42,2810,42,42,0.0,117.0,0.0,78.0,39.0,0.0,,-0.5,-0.468,0.0,0.0,0.0,133.0
2020-03-06 13:03:12,Singapore,0.0,0.0,0.0,130.0,0.0,78.0,130.0,52.0,43,3021,43,43,0.0,130.0,0.0,78.0,52.0,0.0,,0.0,0.111,0.0,0.0,0.0,148.0
2020-03-07 17:53:03,Singapore,0.0,0.0,0.0,138.0,0.0,78.0,138.0,60.0,44,3312,44,44,0.0,138.0,0.0,78.0,60.0,0.0,,0.0,0.062,0.0,0.0,0.0,157.0
2020-03-08 13:33:13,Singapore,0.0,0.0,0.0,300.0,0.0,156.0,300.0,144.0,91,6925,91,91,0.0,300.0,0.0,156.0,144.0,0.0,,1.0,1.174,0.0,0.0,0.0,342.0
2020-03-10 05:13:07,Singapore,0.0,0.0,0.0,160.0,0.0,78.0,160.0,82.0,47,3806,47,47,0.0,160.0,0.0,78.0,82.0,0.0,,-0.5,-0.467,0.0,0.0,0.0,182.0
2020-03-11 13:53:24,Singapore,0.0,0.0,0.0,356.0,0.0,192.0,356.0,164.0,97,8162,97,97,0.0,356.0,0.0,192.0,164.0,0.0,,1.462,1.225,0.0,0.0,0.0,406.0
2020-03-11 20:00:00,Singapore,0.0,0.0,0.0,200.0,0.0,97.0,200.0,103.0,50,4320,50,50,0.0,200.0,0.0,97.0,103.0,0.0,,-0.495,-0.438,0.0,0.0,0.0,228.0
2020-03-14 16:14:30,Singapore,0.0,0.0,0.0,212.0,0.0,105.0,212.0,107.0,51,4819,51,51,0.0,212.0,0.0,105.0,107.0,0.0,,0.082,0.06,0.0,0.0,0.0,242.0
2020-03-15 18:20:18,Singapore,0.0,0.0,0.0,226.0,0.0,105.0,226.0,121.0,52,5109,52,52,0.0,226.0,0.0,105.0,121.0,0.0,,0.0,0.066,0.0,0.0,0.0,258.0
2020-03-16 14:38:45,Singapore,0.0,0.0,0.0,243.0,0.0,109.0,243.0,134.0,53,5336,53,53,0.0,243.0,0.0,109.0,134.0,0.0,,0.038,0.075,0.0,0.0,0.0,277.0
2020-03-17 15:33:06,Singapore,0.0,0.0,0.0,266.0,0.0,114.0,266.0,152.0,54,5620,54,54,0.0,266.0,0.0,114.0,152.0,0.0,,0.046,0.095,0.0,0.0,0.0,303.0
2020-03-18 13:33:12,Singapore,0.0,0.0,0.0,313.0,0.0,114.0,313.0,199.0,55,5916,55,55,0.0,313.0,0.0,114.0,199.0,0.0,,0.0,0.177,0.0,0.0,0.0,357.0
2020-03-19 16:13:36,Singapore,0.0,0.0,0.0,345.0,0.0,114.0,345.0,231.0,56,6168,56,56,0.0,345.0,0.0,114.0,231.0,0.0,,0.0,0.102,0.0,0.0,0.0,393.0
2020-03-20 15:43:24,Singapore,0.0,0.0,0.0,385.0,0.0,124.0,385.0,261.0,57,6405,57,57,0.0,385.0,0.0,124.0,261.0,0.0,,0.088,0.116,0.0,0.0,0.0,439.0
2020-03-21 13:13:30,Singapore,0.0,0.0,0.0,432.0,2.0,140.0,430.0,290.0,58,6606,58,58,2.0,432.0,2.0,140.0,290.0,0.005,inf,0.129,0.122,200.0,360.0,700.0,492.0
2020-03-22 23:45:00,Singapore,1.357107,103.81949920000001,0.0,455.0,2.0,144.0,453.0,309.0,59,38,59,59,2.0,455.0,2.0,144.0,309.0,0.004,0.0,0.029,0.053,200.0,360.0,700.0,519.0
2020-03-23 23:19:21,Singapore,1.357107,103.81949920000001,0.0,509.0,2.0,152.0,507.0,355.0,60,39,60,60,2.0,509.0,2.0,152.0,355.0,0.004,0.0,0.056,0.119,200.0,360.0,700.0,580.0
2020-03-24 23:37:15,Singapore,1.357107,103.81949920000001,0.0,558.0,2.0,156.0,556.0,400.0,61,40,61,61,2.0,558.0,2.0,156.0,400.0,0.004,0.0,0.026,0.096,200.0,360.0,700.0,636.0
2020-03-25 23:33:04,Singapore,1.357107,103.81949920000001,0.0,631.0,2.0,160.0,629.0,469.0,62,41,62,62,2.0,631.0,2.0,160.0,469.0,0.003,0.0,0.026,0.131,200.0,360.0,700.0,719.0
