Date,Confirmed,Death,Recovered,Province/State,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-06,1.0,,,Slovakia,1.0,,,1.0,0.0,,,,,,,1.0
2020-03-07,1.0,,,Slovakia,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-03-08,3.0,,,Slovakia,3.0,,,3.0,0.0,,,2.0,,,,3.0
2020-03-09,3.0,,,Slovakia,3.0,,,3.0,0.0,,,0.0,,,,3.0
2020-03-10,7.0,,,Slovakia,7.0,,,7.0,0.0,,,1.333,,,,8.0
2020-03-11,10.0,,,Slovakia,10.0,,,10.0,0.0,,,0.429,,,,11.0
2020-03-12,16.0,,,Slovakia,16.0,,,16.0,0.0,,,0.6,,,,18.0
2020-03-13,32.0,,,Slovakia,32.0,,,32.0,0.0,,,1.0,,,,36.0
2020-03-14,44.0,,,Slovakia,44.0,,,44.0,0.0,,,0.375,,,,50.0
2020-03-15,54.0,,,Slovakia,54.0,,,54.0,0.0,,,0.227,,,,62.0
2020-03-16,63.0,,,Slovakia,63.0,,,63.0,0.0,,,0.167,,,,72.0
2020-03-17,72.0,,,Slovakia,72.0,,,72.0,0.0,,,0.143,,,,82.0
2020-03-18,105.0,1.0,,Slovakia,105.0,1.0,,104.0,0.01,inf,,0.458,100.0,180.0,350.0,120.0
2020-03-19,123.0,1.0,,Slovakia,123.0,1.0,,122.0,0.008,0.0,,0.171,100.0,180.0,350.0,140.0
2020-03-20,137.0,1.0,,Slovakia,137.0,1.0,,136.0,0.007,0.0,,0.114,100.0,180.0,350.0,156.0
2020-03-21,178.0,1.0,,Slovakia,178.0,1.0,,177.0,0.006,0.0,,0.299,100.0,180.0,350.0,203.0
2020-03-22,185.0,,7.0,Slovakia,185.0,,7.0,178.0,0.0,-1.0,inf,0.039,,,,211.0
2020-03-23,186.0,,7.0,Slovakia,186.0,,7.0,179.0,0.0,,0.0,0.005,,,,212.0
2020-03-24,204.0,,7.0,Slovakia,204.0,,7.0,197.0,0.0,,0.0,0.097,,,,233.0
2020-03-25,216.0,,,Slovakia,216.0,,,216.0,0.0,,-1.0,0.059,,,,246.0
