Date,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-03-06 13:03:14,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1,6059,1,1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,2.28,0.0,0.0,0.0
2020-03-08 09:13:15,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,5,6871,5,5,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0
2020-03-10 05:13:07,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,4,3798,4,4,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.167,0.7223333333333333,1.0,-0.75,1.0,-0.75,0.0,0.0,0.0,0.0,7.9799999999999995,0.0,0.0,0.0
2020-03-11 13:33:11,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,5,4074,5,5,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.429,0.8653333333333332,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,11.399999999999999,0.0,0.0,0.0
2020-03-11 20:00:00,0.0,0.0,0.0,32.0,0.0,0.0,32.0,32.0,6,4334,6,6,0.0,32.0,0.0,0.0,32.0,0.0,0.0,0.0,2.2,0.9319999999999998,22.0,6.333333333333333,22.0,6.333333333333333,0.0,0.0,0.0,0.0,36.48,0.0,0.0,0.0
2020-03-12 13:33:02,0.0,0.0,0.0,16.0,0.0,0.0,16.0,16.0,7,4533,7,7,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,-0.5,0.7096666666666666,-16.0,-1.7272727272727273,-16.0,-1.7272727272727273,0.0,0.0,0.0,0.0,18.24,0.0,0.0,0.0
2020-03-14 20:33:03,0.0,0.0,0.0,44.0,0.0,0.0,44.0,44.0,8,4911,8,8,0.0,44.0,0.0,0.0,44.0,0.0,0.0,0.0,1.75,1.15,28.0,-2.75,28.0,-2.75,0.0,0.0,0.0,0.0,50.16,0.0,0.0,0.0
2020-03-15 18:20:18,0.0,0.0,0.0,54.0,0.0,0.0,54.0,54.0,9,5125,9,9,0.0,54.0,0.0,0.0,54.0,0.0,0.0,0.0,0.227,0.4923333333333331,10.0,-0.6428571428571428,10.0,-0.6428571428571428,0.0,0.0,0.0,0.0,61.559999999999995,0.0,0.0,0.0
2020-03-16 14:38:45,0.0,0.0,0.0,63.0,0.0,0.0,63.0,63.0,10,5348,10,10,0.0,63.0,0.0,0.0,63.0,0.0,0.0,0.0,0.167,0.7146666666666665,9.0,-0.09999999999999998,9.0,-0.09999999999999998,0.0,0.0,0.0,0.0,71.82,0.0,0.0,0.0
2020-03-17 02:13:34,0.0,0.0,0.0,72.0,0.0,0.0,72.0,72.0,11,5516,11,11,0.0,72.0,0.0,0.0,72.0,0.0,0.0,0.0,0.143,0.1789999999999997,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,82.08,0.0,0.0,0.0
2020-03-18 14:13:14,0.0,0.0,0.0,105.0,1.0,0.0,104.0,104.0,12,5922,12,12,1.0,105.0,1.0,0.0,104.0,0.01,inf,0.0,0.458,0.2559999999999997,32.0,2.5555555555555554,33.0,2.6666666666666665,1.0,inf,0.0,0.0,118.55999999999999,100.0,180.0,350.0
2020-03-19 16:13:36,0.0,0.0,0.0,123.0,1.0,0.0,122.0,122.0,13,6173,13,13,1.0,123.0,1.0,0.0,122.0,0.008,0.0,0.0,0.171,0.257333333333333,18.0,-0.4375,18.0,-0.4545454545454546,0.0,-1.0,0.0,0.0,139.07999999999998,100.0,180.0,350.0
2020-03-20 16:13:11,0.0,0.0,0.0,137.0,1.0,0.0,136.0,136.0,14,6422,14,14,1.0,137.0,1.0,0.0,136.0,0.007,0.0,0.0,0.114,0.24766666666666634,14.0,-0.2222222222222222,14.0,-0.2222222222222222,0.0,0.0,0.0,0.0,155.04,100.0,180.0,350.0
2020-03-21 20:43:02,0.0,0.0,0.0,178.0,1.0,0.0,177.0,177.0,15,6701,15,15,1.0,178.0,1.0,0.0,177.0,0.006,0.0,0.0,0.299,0.19466666666666632,41.0,1.9285714285714284,41.0,1.9285714285714284,0.0,0.0,0.0,0.0,201.77999999999997,100.0,180.0,350.0
2020-03-22 23:45:00,48.74115220000001,19.4528646,0.0,185.0,0.0,7.0,185.0,178.0,16,0,16,16,0.0,185.0,0.0,7.0,178.0,0.0,-1.0,inf,0.039,0.1506666666666663,1.0,-0.975609756097561,7.0,-0.8292682926829268,-1.0,-inf,7.0,inf,202.92,0.0,0.0,0.0
2020-03-23 23:19:21,48.74115220000001,19.4528646,0.0,186.0,0.0,7.0,186.0,179.0,17,1,17,17,0.0,186.0,0.0,7.0,179.0,0.0,0.0,0.0,0.005,0.114333333333333,1.0,0.0,1.0,-0.8571428571428572,0.0,-1.0,0.0,-1.0,204.05999999999997,0.0,0.0,0.0
2020-03-24 23:37:15,48.74115220000001,19.4528646,0.0,204.0,0.0,7.0,204.0,197.0,18,2,18,18,0.0,204.0,0.0,7.0,197.0,0.0,0.0,0.0,0.097,0.04699999999999965,18.0,17.0,18.0,17.0,0.0,0.0,0.0,0.0,224.57999999999998,0.0,0.0,0.0
2020-03-25 23:33:04,48.74115220000001,19.4528646,0.0,216.0,0.0,7.0,216.0,209.0,19,3,19,19,0.0,216.0,0.0,7.0,209.0,0.0,0.0,0.0,0.059,0.053666666666666314,12.0,-0.33333333333333337,12.0,-0.33333333333333337,0.0,0.0,0.0,0.0,238.26,0.0,0.0,0.0
