Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-05 17:13:30,Slovenia,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0,2857,0,0,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-03-06 15:33:03,Slovenia,0.0,0.0,0.0,14.0,0.0,0.0,14.0,14.0,3,6091,3,3,0.0,14.0,0.0,0.0,14.0,0.0,,,6.0,0.0,0.0,0.0,16.0
2020-03-08 17:03:16,Slovenia,0.0,0.0,0.0,32.0,0.0,0.0,32.0,32.0,7,6997,7,7,0.0,32.0,0.0,0.0,32.0,0.0,,,1.286,0.0,0.0,0.0,36.0
2020-03-10 16:13:26,Slovenia,0.0,0.0,0.0,31.0,0.0,0.0,31.0,31.0,5,3873,5,5,0.0,31.0,0.0,0.0,31.0,0.0,,,-0.031,0.0,0.0,0.0,35.0
2020-03-11 14:13:11,Slovenia,0.0,0.0,0.0,57.0,0.0,0.0,57.0,57.0,6,4085,6,6,0.0,57.0,0.0,0.0,57.0,0.0,,,0.839,0.0,0.0,0.0,65.0
2020-03-11 20:00:00,Slovenia,0.0,0.0,0.0,141.0,0.0,0.0,141.0,141.0,7,4279,7,7,0.0,141.0,0.0,0.0,141.0,0.0,,,1.474,0.0,0.0,0.0,161.0
2020-03-12 13:33:02,Slovenia,0.0,0.0,0.0,89.0,0.0,0.0,89.0,89.0,8,4535,8,8,0.0,89.0,0.0,0.0,89.0,0.0,,,-0.369,0.0,0.0,0.0,101.0
2020-03-14 22:33:03,Slovenia,0.0,0.0,0.0,181.0,1.0,0.0,180.0,180.0,9,4960,9,9,1.0,181.0,1.0,0.0,180.0,0.006,inf,,1.034,100.0,180.0,350.0,206.0
2020-03-15 18:20:18,Slovenia,0.0,0.0,0.0,219.0,1.0,0.0,218.0,218.0,10,5094,10,10,1.0,219.0,1.0,0.0,218.0,0.005,0.0,,0.21,100.0,180.0,350.0,250.0
2020-03-16 14:38:45,Slovenia,0.0,0.0,0.0,253.0,1.0,0.0,252.0,252.0,11,5338,11,11,1.0,253.0,1.0,0.0,252.0,0.004,0.0,,0.155,100.0,180.0,350.0,288.0
2020-03-17 16:53:04,Slovenia,0.0,0.0,0.0,550.0,2.0,0.0,548.0,548.0,25,11308,25,25,2.0,550.0,2.0,0.0,548.0,0.004,1.0,,1.174,200.0,360.0,700.0,627.0
2020-03-19 02:13:17,Slovenia,0.0,0.0,0.0,286.0,1.0,0.0,285.0,285.0,14,6049,14,14,1.0,286.0,1.0,0.0,285.0,0.003,-0.5,,-0.48,100.0,180.0,350.0,326.0
2020-03-20 15:43:24,Slovenia,0.0,0.0,0.0,341.0,1.0,0.0,340.0,340.0,15,6405,15,15,1.0,341.0,1.0,0.0,340.0,0.003,0.0,,0.192,100.0,180.0,350.0,389.0
2020-03-21 14:43:03,Slovenia,0.0,0.0,0.0,383.0,1.0,0.0,382.0,382.0,16,6623,16,16,1.0,383.0,1.0,0.0,382.0,0.003,0.0,,0.123,100.0,180.0,350.0,437.0
2020-03-22 23:45:00,Slovenia,45.813311299999995,14.4808369,0.0,414.0,2.0,0.0,412.0,412.0,17,0,17,17,2.0,414.0,2.0,0.0,412.0,0.005,1.0,,0.081,200.0,360.0,700.0,472.0
2020-03-23 23:19:21,Slovenia,45.813311299999995,14.4808369,0.0,442.0,3.0,0.0,439.0,439.0,18,1,18,18,3.0,442.0,3.0,0.0,439.0,0.007,0.5,,0.068,300.0,540.0,1050.0,504.0
2020-03-24 23:37:15,Slovenia,45.813311299999995,14.4808369,0.0,480.0,4.0,3.0,476.0,473.0,19,2,19,19,4.0,480.0,4.0,3.0,473.0,0.008,0.333,inf,0.086,400.0,720.0,1400.0,547.0
2020-03-25 23:33:04,Slovenia,45.813311299999995,14.4808369,0.0,528.0,5.0,10.0,523.0,513.0,20,3,20,20,5.0,528.0,5.0,10.0,513.0,0.009,0.25,2.333,0.1,500.0,900.0,1750.0,602.0
