Date,Confirmed,Death,Province/State,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-13,1,1,Sudan,0,1.0,1.0,0.0,0.0,1.0,,,,100,180,350,1.0
2020-03-14,1,1,Sudan,0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,100,180,350,1.0
2020-03-15,1,1,Sudan,0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,100,180,350,1.0
2020-03-16,1,1,Sudan,0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,100,180,350,1.0
2020-03-17,1,1,Sudan,0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,100,180,350,1.0
2020-03-18,2,1,Sudan,0,2.0,1.0,0.0,1.0,0.5,0.0,,1.0,100,180,350,2.0
2020-03-19,2,1,Sudan,0,2.0,1.0,0.0,1.0,0.5,0.0,,0.0,100,180,350,2.0
2020-03-20,2,1,Sudan,0,2.0,1.0,0.0,1.0,0.5,0.0,,0.0,100,180,350,2.0
2020-03-21,2,1,Sudan,0,2.0,1.0,0.0,1.0,0.5,0.0,,0.0,100,180,350,2.0
2020-03-22,2,1,Sudan,0,2.0,1.0,0.0,1.0,0.5,0.0,,0.0,100,180,350,2.0
