Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-31 23:59:00,Sweden,59.67497120000001,14.5208584,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-02-01 02:13:00,Sweden,59.67497120000001,14.5208584,0.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0
2020-02-01 02:13:26,Sweden,1432.1993088000002,348.5006016000001,0.0,24.0,0.0,0.0,24.0,24.0,324,324,324,324,0.0,24.0,0.0,0.0,24.0,0.0,,,23.0,0.0,0.0,0.0,27.0
2020-02-26 18:53:02,Sweden,59.67497120000001,14.5208584,0.0,2.0,0.0,0.0,2.0,2.0,26,26,26,26,0.0,2.0,0.0,0.0,2.0,0.0,,,-0.917,0.0,0.0,0.0,2.0
2020-02-27 20:33:02,Sweden,119.34994240000002,29.0417168,0.0,14.0,0.0,0.0,14.0,14.0,55,55,55,55,0.0,14.0,0.0,0.0,14.0,0.0,,,6.0,0.0,0.0,0.0,16.0
2020-02-29 14:43:03,Sweden,59.67497120000001,14.5208584,0.0,12.0,0.0,0.0,12.0,12.0,29,29,29,29,0.0,12.0,0.0,0.0,12.0,0.0,,,-0.143,0.0,0.0,0.0,14.0
2020-03-01 23:23:02,Sweden,0.0,0.0,0.0,14.0,0.0,0.0,14.0,14.0,30,2285,30,30,0.0,14.0,0.0,0.0,14.0,0.0,,,0.167,0.0,0.0,0.0,16.0
2020-03-02 20:53:02,Sweden,0.0,0.0,0.0,15.0,0.0,0.0,15.0,15.0,31,2443,31,31,0.0,15.0,0.0,0.0,15.0,0.0,,,0.071,0.0,0.0,0.0,17.0
2020-03-03 15:13:26,Sweden,0.0,0.0,0.0,21.0,0.0,0.0,21.0,21.0,32,2546,32,32,0.0,21.0,0.0,0.0,21.0,0.0,,,0.4,0.0,0.0,0.0,24.0
2020-03-04 12:33:03,Sweden,0.0,0.0,0.0,35.0,0.0,0.0,35.0,35.0,33,2693,33,33,0.0,35.0,0.0,0.0,35.0,0.0,,,0.667,0.0,0.0,0.0,40.0
2020-03-05 18:03:03,Sweden,0.0,0.0,0.0,94.0,0.0,0.0,94.0,94.0,34,2886,34,34,0.0,94.0,0.0,0.0,94.0,0.0,,,1.686,0.0,0.0,0.0,107.0
2020-03-06 13:03:12,Sweden,0.0,0.0,0.0,101.0,0.0,0.0,101.0,101.0,35,3019,35,35,0.0,101.0,0.0,0.0,101.0,0.0,,,0.074,0.0,0.0,0.0,115.0
2020-03-07 17:53:03,Sweden,0.0,0.0,0.0,161.0,0.0,0.0,161.0,161.0,36,3310,36,36,0.0,161.0,0.0,0.0,161.0,0.0,,,0.594,0.0,0.0,0.0,184.0
2020-03-08 14:03:12,Sweden,0.0,0.0,0.0,203.0,0.0,0.0,203.0,203.0,37,3467,37,37,0.0,203.0,0.0,0.0,203.0,0.0,,,0.261,0.0,0.0,0.0,231.0
2020-03-09 18:33:03,Sweden,0.0,0.0,0.0,248.0,0.0,1.0,248.0,247.0,38,3702,38,38,0.0,248.0,0.0,1.0,247.0,0.0,,inf,0.222,0.0,0.0,0.0,283.0
2020-03-10 23:53:02,Sweden,0.0,0.0,0.0,355.0,0.0,1.0,355.0,354.0,39,3924,39,39,0.0,355.0,0.0,1.0,354.0,0.0,,0.0,0.431,0.0,0.0,0.0,405.0
2020-03-11 19:33:02,Sweden,0.0,0.0,0.0,500.0,1.0,1.0,499.0,498.0,40,4137,40,40,1.0,500.0,1.0,1.0,498.0,0.002,inf,0.0,0.408,100.0,180.0,350.0,570.0
2020-03-11 20:00:00,Sweden,0.0,0.0,0.0,814.0,1.0,1.0,813.0,812.0,41,4272,41,41,1.0,814.0,1.0,1.0,812.0,0.001,0.0,0.0,0.628,100.0,180.0,350.0,928.0
2020-03-12 21:39:09,Sweden,0.0,0.0,0.0,599.0,1.0,1.0,598.0,597.0,42,4537,42,42,1.0,599.0,1.0,1.0,597.0,0.002,0.0,0.0,-0.264,100.0,180.0,350.0,683.0
2020-03-14 22:13:11,Sweden,0.0,0.0,0.0,961.0,2.0,1.0,959.0,958.0,43,4943,43,43,2.0,961.0,2.0,1.0,958.0,0.002,1.0,0.0,0.604,200.0,360.0,700.0,1096.0
2020-03-15 18:20:18,Sweden,0.0,0.0,0.0,1022.0,3.0,1.0,1019.0,1018.0,44,5077,44,44,3.0,1022.0,3.0,1.0,1018.0,0.003,0.5,0.0,0.063,300.0,540.0,1050.0,1165.0
2020-03-16 14:38:45,Sweden,0.0,0.0,0.0,1103.0,6.0,1.0,1097.0,1096.0,45,5330,45,45,6.0,1103.0,6.0,1.0,1096.0,0.005,1.0,0.0,0.079,600.0,1080.0,2100.0,1257.0
2020-03-17 15:33:06,Sweden,0.0,0.0,0.0,1190.0,7.0,1.0,1183.0,1182.0,46,5617,46,46,7.0,1190.0,7.0,1.0,1182.0,0.006,0.167,0.0,0.079,700.0,1260.0,2450.0,1357.0
2020-03-18 17:53:02,Sweden,0.0,0.0,0.0,1279.0,10.0,1.0,1269.0,1268.0,47,5976,47,47,10.0,1279.0,10.0,1.0,1268.0,0.008,0.429,0.0,0.075,1000.0,1800.0,3500.0,1458.0
2020-03-19 15:13:27,Sweden,0.0,0.0,0.0,1439.0,11.0,16.0,1428.0,1412.0,48,6165,48,48,11.0,1439.0,11.0,16.0,1412.0,0.008,0.1,15.0,0.125,1100.0,1980.0,3850.0,1640.0
2020-03-20 15:43:24,Sweden,0.0,0.0,0.0,1639.0,16.0,16.0,1623.0,1607.0,49,6406,49,49,16.0,1639.0,16.0,16.0,1607.0,0.01,0.455,0.0,0.139,1600.0,2880.0,5600.0,1868.0
2020-03-21 14:43:03,Sweden,0.0,0.0,0.0,1763.0,20.0,16.0,1743.0,1727.0,50,6623,50,50,20.0,1763.0,20.0,16.0,1727.0,0.011,0.25,0.0,0.076,2000.0,3600.0,7000.0,2010.0
2020-03-22 23:45:00,Sweden,59.67497120000001,14.5208584,0.0,1931.0,21.0,16.0,1910.0,1894.0,51,30,51,51,21.0,1931.0,21.0,16.0,1894.0,0.011,0.05,0.0,0.095,2100.0,3780.0,7350.0,2201.0
2020-03-23 23:19:21,Sweden,59.67497120000001,14.5208584,0.0,2046.0,25.0,16.0,2021.0,2005.0,52,31,52,52,25.0,2046.0,25.0,16.0,2005.0,0.012,0.19,0.0,0.06,2500.0,4500.0,8750.0,2332.0
2020-03-24 23:37:15,Sweden,59.67497120000001,14.5208584,0.0,2286.0,36.0,16.0,2250.0,2234.0,53,32,53,53,36.0,2286.0,36.0,16.0,2234.0,0.016,0.44,0.0,0.117,3600.0,6480.0,12600.0,2606.0
2020-03-25 23:33:04,Sweden,59.67497120000001,14.5208584,0.0,2526.0,62.0,16.0,2464.0,2448.0,54,33,54,54,62.0,2526.0,62.0,16.0,2448.0,0.025,0.722,0.0,0.105,6200.0,11160.0,21700.0,2880.0
