Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-25 19:13:21,Switzerland,93.5971248,16.463947199999996,0.0,2.0,0.0,0.0,2.0,2.0,1,1,1,1,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-02-27 23:03:11,Switzerland,93.5971248,16.463947199999996,0.0,16.0,0.0,0.0,16.0,16.0,5,5,5,5,0.0,16.0,0.0,0.0,16.0,0.0,,,7.0,0.0,0.0,0.0,18.0
2020-02-29 18:03:05,Switzerland,46.7985624,8.231973599999998,0.0,18.0,0.0,0.0,18.0,18.0,4,4,4,4,0.0,18.0,0.0,0.0,18.0,0.0,,,0.125,0.0,0.0,0.0,21.0
2020-03-01 23:23:02,Switzerland,0.0,0.0,0.0,27.0,0.0,0.0,27.0,27.0,5,2282,5,5,0.0,27.0,0.0,0.0,27.0,0.0,,,0.5,0.0,0.0,0.0,31.0
2020-03-02 22:33:09,Switzerland,0.0,0.0,0.0,42.0,0.0,0.0,42.0,42.0,6,2459,6,6,0.0,42.0,0.0,0.0,42.0,0.0,,,0.556,0.0,0.0,0.0,48.0
2020-03-03 16:43:02,Switzerland,0.0,0.0,0.0,56.0,0.0,2.0,56.0,54.0,7,2590,7,7,0.0,56.0,0.0,2.0,54.0,0.0,,inf,0.333,0.0,0.0,0.0,64.0
2020-03-04 19:33:03,Switzerland,0.0,0.0,0.0,90.0,0.0,3.0,90.0,87.0,8,2750,8,8,0.0,90.0,0.0,3.0,87.0,0.0,,0.5,0.607,0.0,0.0,0.0,103.0
2020-03-05 17:43:03,Switzerland,0.0,0.0,0.0,114.0,1.0,3.0,113.0,110.0,9,2867,9,9,1.0,114.0,1.0,3.0,110.0,0.009,inf,0.0,0.267,100.0,180.0,350.0,130.0
2020-03-06 15:23:19,Switzerland,0.0,0.0,0.0,214.0,1.0,3.0,213.0,210.0,10,3042,10,10,1.0,214.0,1.0,3.0,210.0,0.005,0.0,0.0,0.877,100.0,180.0,350.0,244.0
2020-03-07 17:43:05,Switzerland,0.0,0.0,0.0,268.0,1.0,3.0,267.0,264.0,11,3305,11,11,1.0,268.0,1.0,3.0,264.0,0.004,0.0,0.0,0.252,100.0,180.0,350.0,306.0
