Date,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-02-25 19:13:21,93.5971248,16.463947199999996,0.0,2.0,0.0,0.0,2.0,2.0,1,1,1,1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,2.28,0.0,0.0,0.0
2020-02-27 23:03:11,93.5971248,16.463947199999996,0.0,16.0,0.0,0.0,16.0,16.0,5,5,5,5,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,18.24,0.0,0.0,0.0
2020-02-29 18:03:05,46.7985624,8.231973599999998,0.0,18.0,0.0,0.0,18.0,18.0,4,4,4,4,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.125,2.375,2.0,-0.8571428571428572,2.0,-0.8571428571428572,0.0,0.0,0.0,0.0,20.52,0.0,0.0,0.0
2020-03-01 23:23:02,0.0,0.0,0.0,27.0,0.0,0.0,27.0,27.0,5,2282,5,5,0.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,0.5,2.5416666666666665,9.0,3.5,9.0,3.5,0.0,0.0,0.0,0.0,30.779999999999998,0.0,0.0,0.0
2020-03-02 22:33:09,0.0,0.0,0.0,42.0,0.0,0.0,42.0,42.0,6,2459,6,6,0.0,42.0,0.0,0.0,42.0,0.0,0.0,0.0,0.556,0.393666666666667,15.0,0.6666666666666667,15.0,0.6666666666666667,0.0,0.0,0.0,0.0,47.879999999999995,0.0,0.0,0.0
2020-03-03 16:43:02,0.0,0.0,0.0,56.0,0.0,2.0,56.0,54.0,7,2590,7,7,0.0,56.0,0.0,2.0,54.0,0.0,0.0,inf,0.333,0.4630000000000003,12.0,-0.19999999999999996,14.0,-0.06666666666666665,0.0,0.0,2.0,inf,61.559999999999995,0.0,0.0,0.0
2020-03-04 19:33:03,0.0,0.0,0.0,90.0,0.0,3.0,90.0,87.0,8,2750,8,8,0.0,90.0,0.0,3.0,87.0,0.0,0.0,0.5,0.607,0.498666666666667,33.0,1.75,34.0,1.4285714285714284,0.0,0.0,1.0,-0.5,99.17999999999999,0.0,0.0,0.0
2020-03-05 17:43:03,0.0,0.0,0.0,114.0,1.0,3.0,113.0,110.0,9,2867,9,9,1.0,114.0,1.0,3.0,110.0,0.009,inf,0.0,0.267,0.4023333333333336,23.0,-0.303030303030303,24.0,-0.2941176470588235,1.0,inf,0.0,-1.0,125.39999999999999,100.0,180.0,350.0
2020-03-06 15:23:19,0.0,0.0,0.0,214.0,1.0,3.0,213.0,210.0,10,3042,10,10,1.0,214.0,1.0,3.0,210.0,0.005,0.0,0.0,0.877,0.5836666666666669,100.0,3.3478260869565215,100.0,3.166666666666667,0.0,-1.0,0.0,0.0,239.39999999999998,100.0,180.0,350.0
2020-03-07 17:43:05,0.0,0.0,0.0,268.0,1.0,3.0,267.0,264.0,11,3305,11,11,1.0,268.0,1.0,3.0,264.0,0.004,0.0,0.0,0.252,0.46533333333333354,54.0,-0.45999999999999996,54.0,-0.45999999999999996,0.0,0.0,0.0,0.0,300.96,100.0,180.0,350.0
