Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-22 17:00:00,Thailand,14.8971921,100.83273,0.0,2.0,0.0,0.0,2.0,2.0,0,0,0,0,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-01-23 17:00:00,Thailand,14.8971921,100.83273,0.0,3.0,0.0,0.0,3.0,3.0,1,1,1,1,0.0,3.0,0.0,0.0,3.0,0.0,,,0.5,0.0,0.0,0.0,3.0
2020-01-24 17:00:00,Thailand,14.8971921,100.83273,0.0,5.0,0.0,0.0,5.0,5.0,2,2,2,2,0.0,5.0,0.0,0.0,5.0,0.0,,,0.667,0.0,0.0,0.0,6.0
2020-01-25 17:00:00,Thailand,14.8971921,100.83273,0.0,7.0,0.0,0.0,7.0,7.0,3,3,3,3,0.0,7.0,0.0,0.0,7.0,0.0,,,0.4,0.0,0.0,0.0,8.0
2020-01-26 16:00:00,Thailand,14.8971921,100.83273,0.0,8.0,0.0,2.0,8.0,6.0,4,4,4,4,0.0,8.0,0.0,2.0,6.0,0.0,,inf,0.143,0.0,0.0,0.0,9.0
2020-01-27 23:59:00,Thailand,14.8971921,100.83273,0.0,8.0,0.0,2.0,8.0,6.0,5,5,5,5,0.0,8.0,0.0,2.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.0
2020-01-28 23:00:00,Thailand,14.8971921,100.83273,0.0,14.0,0.0,5.0,14.0,9.0,6,6,6,6,0.0,14.0,0.0,5.0,9.0,0.0,,1.5,0.75,0.0,0.0,0.0,16.0
2020-01-29 19:30:00,Thailand,14.8971921,100.83273,0.0,14.0,0.0,5.0,14.0,9.0,7,7,7,7,0.0,14.0,0.0,5.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0,16.0
2020-01-30 16:00:00,Thailand,14.8971921,100.83273,0.0,14.0,0.0,5.0,14.0,9.0,8,8,8,8,0.0,14.0,0.0,5.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0,16.0
2020-01-31 10:37:00,Thailand,44.6915763,302.49819,0.0,57.0,0.0,15.0,57.0,42.0,30,30,30,30,0.0,57.0,0.0,15.0,42.0,0.0,,2.0,3.071,0.0,0.0,0.0,65.0
2020-01-31 23:59:00,Thailand,14.8971921,100.83273,0.0,19.0,0.0,5.0,19.0,14.0,12,12,12,12,0.0,19.0,0.0,5.0,14.0,0.0,,-0.667,-0.667,0.0,0.0,0.0,22.0
2020-02-04 15:33:03,Thailand,59.5887684,403.33092,0.0,100.0,0.0,20.0,100.0,80.0,58,58,58,58,0.0,100.0,0.0,20.0,80.0,0.0,,3.0,4.263,0.0,0.0,0.0,114.0
2020-02-08 12:53:01,Thailand,44.6915763,302.49819,0.0,96.0,0.0,30.0,96.0,66.0,54,54,54,54,0.0,96.0,0.0,30.0,66.0,0.0,,0.5,-0.04,0.0,0.0,0.0,109.0
2020-02-11 18:43:04,Thailand,29.7943842,201.66546,0.0,66.0,0.0,20.0,66.0,46.0,41,41,41,41,0.0,66.0,0.0,20.0,46.0,0.0,,-0.333,-0.312,0.0,0.0,0.0,75.0
2020-02-13 17:53:03,Thailand,44.6915763,302.49819,0.0,99.0,0.0,36.0,99.0,63.0,69,69,69,69,0.0,99.0,0.0,36.0,63.0,0.0,,0.8,0.5,0.0,0.0,0.0,113.0
2020-02-16 18:03:02,Thailand,14.8971921,100.83273,0.0,34.0,0.0,14.0,34.0,20.0,25,25,25,25,0.0,34.0,0.0,14.0,20.0,0.0,,-0.611,-0.657,0.0,0.0,0.0,39.0
2020-02-17 07:33:02,Thailand,59.5887684,403.33092,0.0,140.0,0.0,60.0,140.0,80.0,110,110,110,110,0.0,140.0,0.0,60.0,80.0,0.0,,3.286,3.118,0.0,0.0,0.0,160.0
2020-02-21 18:53:02,Thailand,29.7943842,201.66546,0.0,70.0,0.0,34.0,70.0,36.0,61,61,61,61,0.0,70.0,0.0,34.0,36.0,0.0,,-0.433,-0.5,0.0,0.0,0.0,80.0
2020-02-23 15:03:05,Thailand,29.7943842,201.66546,0.0,70.0,0.0,42.0,70.0,28.0,65,65,65,65,0.0,70.0,0.0,42.0,28.0,0.0,,0.235,0.0,0.0,0.0,0.0,80.0
2020-02-25 08:53:02,Thailand,14.8971921,100.83273,0.0,37.0,0.0,22.0,37.0,15.0,34,34,34,34,0.0,37.0,0.0,22.0,15.0,0.0,,-0.476,-0.471,0.0,0.0,0.0,42.0
2020-02-26 07:23:03,Thailand,29.7943842,201.66546,0.0,80.0,0.0,44.0,80.0,36.0,71,71,71,71,0.0,80.0,0.0,44.0,36.0,0.0,,1.0,1.162,0.0,0.0,0.0,91.0
