Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-11 03:33:05,Turkey,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1,8036,1,1,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-03-11 20:00:00,Turkey,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,2,4276,2,2,0.0,5.0,0.0,0.0,5.0,0.0,,,1.5,0.0,0.0,0.0,6.0
2020-03-13 23:33:06,Turkey,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,3,4693,3,3,0.0,5.0,0.0,0.0,5.0,0.0,,,0.0,0.0,0.0,0.0,6.0
2020-03-15 18:20:18,Turkey,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,4,5147,4,4,0.0,6.0,0.0,0.0,6.0,0.0,,,0.2,0.0,0.0,0.0,7.0
2020-03-16 01:13:13,Turkey,0.0,0.0,0.0,18.0,0.0,0.0,18.0,18.0,5,5250,5,5,0.0,18.0,0.0,0.0,18.0,0.0,,,2.0,0.0,0.0,0.0,21.0
2020-03-17 22:13:16,Turkey,0.0,0.0,0.0,47.0,1.0,0.0,46.0,46.0,6,5721,6,6,1.0,47.0,1.0,0.0,46.0,0.021,inf,,1.611,100.0,180.0,350.0,54.0
2020-03-18 02:33:06,Turkey,0.0,0.0,0.0,98.0,1.0,0.0,97.0,97.0,7,5777,7,7,1.0,98.0,1.0,0.0,97.0,0.01,0.0,,1.085,100.0,180.0,350.0,112.0
2020-03-19 16:43:03,Turkey,0.0,0.0,0.0,192.0,3.0,0.0,189.0,189.0,8,6179,8,8,3.0,192.0,3.0,0.0,189.0,0.016,2.0,,0.959,300.0,540.0,1050.0,219.0
2020-03-20 01:43:03,Turkey,0.0,0.0,0.0,359.0,4.0,0.0,355.0,355.0,9,6304,9,9,4.0,359.0,4.0,0.0,355.0,0.011,0.333,,0.87,400.0,720.0,1400.0,409.0
2020-03-21 01:43:03,Turkey,0.0,0.0,0.0,670.0,9.0,0.0,661.0,661.0,10,6540,10,10,9.0,670.0,9.0,0.0,661.0,0.013,1.25,,0.866,900.0,1620.0,3150.0,764.0
2020-03-22 23:45:00,Turkey,38.959759399999996,34.9249653,0.0,1236.0,30.0,0.0,1206.0,1206.0,11,0,11,11,30.0,1236.0,30.0,0.0,1206.0,0.024,2.333,,0.845,3000.0,5400.0,10500.0,1409.0
2020-03-23 23:19:21,Turkey,38.959759399999996,34.9249653,0.0,1529.0,37.0,0.0,1492.0,1492.0,12,1,12,12,37.0,1529.0,37.0,0.0,1492.0,0.024,0.233,,0.237,3700.0,6660.0,12950.0,1743.0
2020-03-24 23:37:15,Turkey,38.959759399999996,34.9249653,0.0,1872.0,44.0,0.0,1828.0,1828.0,13,2,13,13,44.0,1872.0,44.0,0.0,1828.0,0.024,0.189,,0.224,4400.0,7920.0,15400.0,2134.0
2020-03-25 23:33:04,Turkey,38.959759399999996,34.9249653,0.0,2433.0,59.0,26.0,2374.0,2348.0,14,3,14,14,59.0,2433.0,59.0,26.0,2348.0,0.024,0.341,inf,0.3,5900.0,10620.0,20650.0,2774.0
