Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-31 23:59:00,UK,54.702354500000006,-3.2765752999999997,0.0,2.0,0.0,0.0,2.0,2.0,0,0,0,0,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-02-01 01:52:00,UK,54.702354500000006,-3.2765752999999997,0.0,2.0,0.0,0.0,2.0,2.0,1,1,1,1,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0
2020-02-01 01:52:40,UK,273.5117725,-16.3828765,0.0,10.0,0.0,0.0,10.0,10.0,20,20,20,20,0.0,10.0,0.0,0.0,10.0,0.0,,,4.0,0.0,0.0,0.0,11.0
2020-02-07 18:33:02,UK,164.1070635,-9.8297259,0.0,9.0,0.0,0.0,9.0,9.0,24,24,24,24,0.0,9.0,0.0,0.0,9.0,0.0,,,-0.1,0.0,0.0,0.0,10.0
2020-02-10 19:03:02,UK,109.40470900000001,-6.5531505999999995,0.0,16.0,0.0,0.0,16.0,16.0,21,21,21,21,0.0,16.0,0.0,0.0,16.0,0.0,,,0.778,0.0,0.0,0.0,18.0
2020-02-12 19:03:06,UK,218.80941800000002,-13.106301199999999,0.0,36.0,0.0,4.0,36.0,32.0,54,54,54,54,0.0,36.0,0.0,4.0,32.0,0.0,,inf,1.25,0.0,0.0,0.0,41.0
2020-02-16 16:23:06,UK,437.61883600000004,-26.2126024,0.0,72.0,0.0,64.0,72.0,8.0,156,156,156,156,0.0,72.0,0.0,64.0,8.0,0.0,,15.0,1.0,0.0,0.0,0.0,82.0
2020-02-24 08:33:02,UK,164.1070635,-9.8297259,0.0,39.0,0.0,24.0,39.0,15.0,75,75,75,75,0.0,39.0,0.0,24.0,15.0,0.0,,-0.625,-0.458,0.0,0.0,0.0,44.0
2020-02-27 13:23:02,UK,54.702354500000006,-3.2765752999999997,0.0,15.0,0.0,8.0,15.0,7.0,27,27,27,27,0.0,15.0,0.0,8.0,7.0,0.0,,-0.667,-0.615,0.0,0.0,0.0,17.0
2020-02-28 20:13:09,UK,54.702354500000006,-3.2765752999999997,0.0,20.0,0.0,8.0,20.0,12.0,28,28,28,28,0.0,20.0,0.0,8.0,12.0,0.0,,0.0,0.333,0.0,0.0,0.0,23.0
2020-02-29 18:03:05,UK,54.702354500000006,-3.2765752999999997,0.0,23.0,0.0,8.0,23.0,15.0,29,29,29,29,0.0,23.0,0.0,8.0,15.0,0.0,,0.0,0.15,0.0,0.0,0.0,26.0
2020-03-01 23:23:02,UK,0.0,0.0,0.0,36.0,0.0,8.0,36.0,28.0,30,2277,30,30,0.0,36.0,0.0,8.0,28.0,0.0,,0.0,0.565,0.0,0.0,0.0,41.0
2020-03-02 20:33:02,UK,0.0,0.0,0.0,40.0,0.0,8.0,40.0,32.0,31,2420,31,31,0.0,40.0,0.0,8.0,32.0,0.0,,0.0,0.111,0.0,0.0,0.0,46.0
2020-03-03 15:13:26,UK,0.0,0.0,0.0,51.0,0.0,8.0,51.0,43.0,32,2552,32,32,0.0,51.0,0.0,8.0,43.0,0.0,,0.0,0.275,0.0,0.0,0.0,58.0
2020-03-04 19:33:03,UK,0.0,0.0,0.0,85.0,0.0,8.0,85.0,77.0,33,2748,33,33,0.0,85.0,0.0,8.0,77.0,0.0,,0.0,0.667,0.0,0.0,0.0,97.0
2020-03-05 18:03:03,UK,0.0,0.0,0.0,115.0,1.0,8.0,114.0,106.0,34,2887,34,34,1.0,115.0,1.0,8.0,106.0,0.009,inf,0.0,0.353,100.0,180.0,350.0,131.0
2020-03-06 15:33:03,UK,0.0,0.0,0.0,163.0,2.0,8.0,161.0,153.0,35,3050,35,35,2.0,163.0,2.0,8.0,153.0,0.012,1.0,0.0,0.417,200.0,360.0,700.0,186.0
2020-03-07 17:43:05,UK,0.0,0.0,0.0,206.0,2.0,18.0,204.0,186.0,36,3306,36,36,2.0,206.0,2.0,18.0,186.0,0.01,0.0,1.25,0.264,200.0,360.0,700.0,235.0
2020-03-08 22:03:10,UK,0.0,0.0,0.0,273.0,3.0,18.0,270.0,252.0,37,3600,37,37,3.0,273.0,3.0,18.0,252.0,0.011,0.5,0.0,0.325,300.0,540.0,1050.0,311.0
2020-03-09 18:33:03,UK,0.0,0.0,0.0,321.0,4.0,18.0,317.0,299.0,38,3704,38,38,4.0,321.0,4.0,18.0,299.0,0.012,0.333,0.0,0.176,400.0,720.0,1400.0,366.0
2020-03-10 23:53:02,UK,0.0,0.0,0.0,382.0,6.0,18.0,376.0,358.0,39,3923,39,39,6.0,382.0,6.0,18.0,358.0,0.016,0.5,0.0,0.19,600.0,1080.0,2100.0,435.0
