Date,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-03-03,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,1.14,0.0,0.0,0.0
2020-03-04,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-13,3.0,1.0,0.0,3.0,1.0,0.0,2.0,0.333,inf,0.0,2.0,1.0,inf,2.0,inf,1.0,inf,0.0,0.0,2.28,100.0,180.0,350.0
2020-03-14,3.0,1.0,0.0,3.0,1.0,0.0,2.0,0.333,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,2.28,100.0,180.0,350.0
2020-03-15,3.0,1.0,0.0,3.0,1.0,0.0,2.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,100.0,180.0,350.0
2020-03-16,7.0,1.0,0.0,7.0,1.0,0.0,6.0,0.143,0.0,0.0,1.333,4.0,inf,4.0,inf,0.0,0.0,0.0,0.0,6.84,100.0,180.0,350.0
2020-03-17,14.0,2.0,0.0,14.0,2.0,0.0,12.0,0.143,1.0,0.0,1.0,6.0,0.5,7.0,0.75,1.0,inf,0.0,0.0,13.68,200.0,360.0,700.0
2020-03-18,14.0,2.0,0.0,14.0,2.0,0.0,12.0,0.143,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,13.68,200.0,360.0,700.0
2020-03-19,16.0,2.0,0.0,16.0,2.0,0.0,14.0,0.125,0.0,0.0,0.143,2.0,inf,2.0,inf,0.0,0.0,0.0,0.0,15.959999999999999,200.0,360.0,700.0
2020-03-20,29.0,3.0,0.0,29.0,3.0,0.0,26.0,0.103,0.5,0.0,0.812,12.0,5.0,13.0,5.5,1.0,inf,0.0,0.0,29.639999999999997,300.0,540.0,1050.0
2020-03-21,47.0,3.0,1.0,47.0,3.0,1.0,43.0,0.064,0.0,inf,0.621,17.0,0.41666666666666674,18.0,0.3846153846153846,0.0,-1.0,1.0,inf,49.019999999999996,300.0,540.0,1050.0
