Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-11 20:00:00,Channel Islands,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1,4242,1,0,0.0,2.0,0.0,0.0,774.0,0.01,,,,0.0,0.0,0.0,2.0
2020-03-11 20:00:00,Gibraltar,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,4167,0,0,0.0,1.0,0.0,1.0,6.0,0.0,-1.0,-0.895,-0.99,0.0,0.0,0.0,1.0
2020-03-11 20:00:00,United Kingdom,0.0,0.0,0.0,798.0,8.0,18.0,790.0,772.0,2,4293,2,0,8.0,798.0,8.0,18.0,860.0,0.018,inf,17.0,113.0,800.0,1440.0,2800.0,910.0
2020-03-11 20:53:02,Channel Islands,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,16,13050,16,6,0.0,6.0,0.0,0.0,2202.0,0.018,1.625,0.0,1.5,0.0,0.0,0.0,7.0
2020-03-11 20:53:02,Gibraltar,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,9,8694,9,3,0.0,2.0,0.0,2.0,0.0,0.0,-1.0,-0.917,-0.999,0.0,0.0,0.0,2.0
2020-03-11 21:33:03,UK,0.0,0.0,0.0,912.0,16.0,36.0,896.0,860.0,17,8744,17,1,16.0,912.0,16.0,36.0,3.0,0.0,,-1.0,0.0,1600.0,2880.0,5600.0,1040.0
2020-03-14 14:53:04,United Kingdom,0.0,0.0,0.0,2280.0,42.0,36.0,2238.0,2202.0,21,9623,21,3,42.0,2280.0,42.0,36.0,18.0,0.0,,,5.0,4200.0,7560.0,14700.0,2599.0
2020-03-14 16:33:03,Gibraltar,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,39,14550,39,12,0.0,3.0,0.0,3.0,0.0,1.0,inf,,-0.833,0.0,0.0,0.0,3.0
2020-03-15 18:20:19,Channel Islands,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,15,5158,15,4,0.0,3.0,0.0,0.0,1468.0,0.036,17.333,inf,513.333,0.0,0.0,0.0,3.0
2020-03-16 14:38:45,Channel Islands,0.0,0.0,0.0,18.0,0.0,0.0,18.0,18.0,51,16095,51,18,0.0,18.0,0.0,0.0,2.0,0.0,-1.0,-0.95,-0.998,0.0,0.0,0.0,21.0
2020-03-16 14:53:04,Cayman Islands,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,60,16254,60,3,3.0,3.0,3.0,0.0,1843.0,0.028,inf,51.0,649.0,300.0,540.0,1050.0,3.0
2020-03-16 19:13:13,United Kingdom,0.0,0.0,0.0,1543.0,55.0,20.0,1488.0,1468.0,22,5456,22,3,55.0,1543.0,55.0,20.0,4.0,0.0,-1.0,-1.0,-0.998,5500.0,9900.0,19250.0,1759.0
2020-03-17 02:53:03,Gibraltar,0.0,0.0,0.0,3.0,0.0,1.0,3.0,2.0,23,5519,23,6,0.0,3.0,0.0,1.0,6.0,0.0,,inf,1.0,0.0,0.0,0.0,3.0
2020-03-17 15:13:09,United Kingdom,0.0,0.0,0.0,1950.0,55.0,52.0,1895.0,1843.0,24,5606,24,4,55.0,1950.0,55.0,52.0,2490.0,0.027,inf,31.5,327.25,5500.0,9900.0,19250.0,2223.0
2020-03-18 11:53:04,Montserrat,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,106,23496,106,6,0.0,4.0,0.0,0.0,4.0,0.0,-1.0,-1.0,-0.998,0.0,0.0,0.0,5.0
2020-03-18 14:13:42,Gibraltar,0.0,0.0,0.0,8.0,0.0,2.0,8.0,6.0,29,5923,29,7,0.0,8.0,0.0,2.0,2487.0,0.051,inf,inf,671.25,0.0,0.0,0.0,9.0
2020-03-18 14:53:05,United Kingdom,0.0,0.0,0.0,2626.0,71.0,65.0,2555.0,2490.0,30,5961,30,5,71.0,2626.0,71.0,65.0,24.0,0.0,-1.0,-0.908,-0.989,7100.0,12780.0,24850.0,2994.0
