Date,Confirmed,Province/State,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-14,4.0,Uruguay,0,0,4.0,0.0,0.0,4.0,0.0,,,,0,0,0,5.0
2020-03-15,4.0,Uruguay,0,0,4.0,0.0,0.0,4.0,0.0,,,0.0,0,0,0,5.0
2020-03-16,8.0,Uruguay,0,0,8.0,0.0,0.0,8.0,0.0,,,1.0,0,0,0,9.0
2020-03-17,29.0,Uruguay,0,0,29.0,0.0,0.0,29.0,0.0,,,2.625,0,0,0,33.0
2020-03-18,50.0,Uruguay,0,0,50.0,0.0,0.0,50.0,0.0,,,0.724,0,0,0,57.0
2020-03-19,79.0,Uruguay,0,0,79.0,0.0,0.0,79.0,0.0,,,0.58,0,0,0,90.0
2020-03-20,94.0,Uruguay,0,0,94.0,0.0,0.0,94.0,0.0,,,0.19,0,0,0,107.0
2020-03-21,110.0,Uruguay,0,0,110.0,0.0,0.0,110.0,0.0,,,0.17,0,0,0,125.0
2020-03-22,135.0,Uruguay,0,0,135.0,0.0,0.0,135.0,0.0,,,0.227,0,0,0,154.0
2020-03-23,135.0,Uruguay,0,0,135.0,0.0,0.0,135.0,0.0,,,0.0,0,0,0,154.0
