Date,Confirmed,Death,Recovered,Province/State,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-22,1.0,,,US,1.0,,,1.0,0.0,,,,,,,1.0
2020-01-23,1.0,,,US,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-01-24,2.0,,,US,2.0,,,2.0,0.0,,,1.0,,,,2.0
2020-01-25,2.0,,,US,2.0,,,2.0,0.0,,,0.0,,,,2.0
2020-01-26,5.0,,,US,5.0,,,5.0,0.0,,,1.5,,,,6.0
2020-01-27,5.0,,,US,5.0,,,5.0,0.0,,,0.0,,,,6.0
2020-01-28,5.0,,,US,5.0,,,5.0,0.0,,,0.0,,,,6.0
2020-01-29,5.0,,,US,5.0,,,5.0,0.0,,,0.0,,,,6.0
2020-01-30,5.0,,,US,5.0,,,5.0,0.0,,,0.0,,,,6.0
2020-01-31,7.0,,,US,7.0,,,7.0,0.0,,,0.4,,,,8.0
2020-02-01,8.0,,,US,8.0,,,8.0,0.0,,,0.143,,,,9.0
2020-02-02,8.0,,,US,8.0,,,8.0,0.0,,,0.0,,,,9.0
2020-02-03,11.0,,,US,11.0,,,11.0,0.0,,,0.375,,,,13.0
2020-02-04,11.0,,,US,11.0,,,11.0,0.0,,,0.0,,,,13.0
2020-02-05,11.0,,,US,11.0,,,11.0,0.0,,,0.0,,,,13.0
2020-02-06,11.0,,,US,11.0,,,11.0,0.0,,,0.0,,,,13.0
2020-02-07,11.0,,,US,11.0,,,11.0,0.0,,,0.0,,,,13.0
2020-02-08,11.0,,,US,11.0,,,11.0,0.0,,,0.0,,,,13.0
2020-02-09,11.0,,3.0,US,11.0,,3.0,8.0,0.0,,inf,0.0,,,,13.0
2020-02-10,11.0,,3.0,US,11.0,,3.0,8.0,0.0,,0.0,0.0,,,,13.0
2020-02-11,12.0,,3.0,US,12.0,,3.0,9.0,0.0,,0.0,0.091,,,,14.0
2020-02-12,12.0,,3.0,US,12.0,,3.0,9.0,0.0,,0.0,0.0,,,,14.0
2020-02-13,13.0,,3.0,US,13.0,,3.0,10.0,0.0,,0.0,0.083,,,,15.0
2020-02-14,13.0,,3.0,US,13.0,,3.0,10.0,0.0,,0.0,0.0,,,,15.0
2020-02-15,13.0,,3.0,US,13.0,,3.0,10.0,0.0,,0.0,0.0,,,,15.0
2020-02-16,13.0,,3.0,US,13.0,,3.0,10.0,0.0,,0.0,0.0,,,,15.0
2020-02-17,13.0,,3.0,US,13.0,,3.0,10.0,0.0,,0.0,0.0,,,,15.0
