Date,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-01-22 17:00:00,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,14,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,1.14,0.0,0.0,0.0
2020-01-23 17:00:00,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,64,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-01-24 17:00:00,41.875561600000005,-87.6244212,0.0,2.0,0.0,0.0,2.0,2.0,5,82,5,2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,inf,1.0,inf,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0
2020-01-25 17:00:00,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,9,230,9,3,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0
2020-01-26 16:00:00,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,30,650,30,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.5,0.8333333333333334,3.0,inf,3.0,inf,0.0,0.0,0.0,0.0,5.699999999999999,0.0,0.0,0.0
2020-01-27 23:59:00,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,46,793,46,9,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,5.699999999999999,0.0,0.0,0.0
2020-01-28 23:00:00,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,62,1008,62,13,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.699999999999999,0.0,0.0,0.0
2020-01-29 19:30:00,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,78,1109,78,17,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.699999999999999,0.0,0.0,0.0
2020-01-30 16:00:00,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,94,1222,94,21,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.699999999999999,0.0,0.0,0.0
2020-01-31 23:59:00,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,110,1467,110,25,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.2,0.06666666666666667,1.0,inf,1.0,inf,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0
2020-02-01 19:43:00,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,126,1834,126,0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,-0.167,0.011000000000000001,-1.0,-2.0,-1.0,-2.0,0.0,0.0,0.0,0.0,5.699999999999999,0.0,0.0,0.0
2020-02-01 19:43:03,0.0,0.0,0.0,70.0,0.0,0.0,70.0,70.0,4095,30996,4095,683,0.0,70.0,0.0,0.0,70.0,0.0,0.0,0.0,13.0,4.344333333333333,65.0,-66.0,65.0,-66.0,0.0,0.0,0.0,0.0,79.8,0.0,0.0,0.0
2020-02-01 19:53:00,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,294,1575,294,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,-0.957,3.9586666666666663,-67.0,-2.0307692307692307,-67.0,-2.0307692307692307,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0
2020-02-01 19:53:03,0.0,0.0,0.0,63.0,0.0,0.0,63.0,63.0,8253,35154,8253,993,0.0,63.0,0.0,0.0,63.0,0.0,0.0,0.0,20.0,10.681,60.0,-1.8955223880597014,60.0,-1.8955223880597014,0.0,0.0,0.0,0.0,71.82,0.0,0.0,0.0
2020-02-03 00:43:02,0.0,0.0,0.0,36.0,0.0,0.0,36.0,36.0,3087,11709,3087,189,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,-0.429,6.204666666666667,-27.0,-1.45,-27.0,-1.45,0.0,0.0,0.0,0.0,41.04,0.0,0.0,0.0
2020-02-03 03:53:02,0.0,0.0,0.0,72.0,0.0,0.0,72.0,72.0,7146,24642,7146,630,0.0,72.0,0.0,0.0,72.0,0.0,0.0,0.0,1.0,6.857,36.0,-2.333333333333333,36.0,-2.333333333333333,0.0,0.0,0.0,0.0,82.08,0.0,0.0,0.0
2020-02-05 21:53:02,0.0,0.0,0.0,27.0,0.0,0.0,27.0,27.0,6210,22437,6210,351,0.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,-0.625,-0.0179999999999995,-45.0,-2.25,-45.0,-2.25,0.0,0.0,0.0,0.0,30.779999999999998,0.0,0.0,0.0
2020-02-09 07:03:04,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,5070,19990,5070,350,0.0,20.0,0.0,20.0,0.0,0.0,0.0,inf,-0.259,0.03866666666666716,-27.0,-0.4,-7.0,-0.8444444444444444,0.0,0.0,20.0,inf,0.0,0.0,0.0,0.0
2020-02-09 19:03:03,0.0,0.0,0.0,42.0,0.0,42.0,42.0,0.0,5754,21903,5754,378,0.0,42.0,0.0,42.0,0.0,0.0,0.0,1.1,1.1,0.07200000000000051,0.0,-1.0,22.0,-4.142857142857142,0.0,0.0,22.0,0.10000000000000009,0.0,0.0,0.0,0.0
2020-02-11 01:23:05,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,571,2209,571,1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.0,-0.952,-0.03699999999999948,2.0,inf,-40.0,-2.8181818181818183,0.0,0.0,-42.0,-2.909090909090909,2.28,0.0,0.0,0.0
