Date,Confirmed,Province/State,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-15,1,Uzbekistan,0,0,1.0,0.0,0.0,1.0,0.0,,,,0,0,0,1.0
2020-03-16,6,Uzbekistan,0,0,6.0,0.0,0.0,6.0,0.0,,,5.0,0,0,0,7.0
2020-03-17,10,Uzbekistan,0,0,10.0,0.0,0.0,10.0,0.0,,,0.667,0,0,0,11.0
2020-03-18,15,Uzbekistan,0,0,15.0,0.0,0.0,15.0,0.0,,,0.5,0,0,0,17.0
2020-03-19,23,Uzbekistan,0,0,23.0,0.0,0.0,23.0,0.0,,,0.533,0,0,0,26.0
2020-03-20,33,Uzbekistan,0,0,33.0,0.0,0.0,33.0,0.0,,,0.435,0,0,0,38.0
2020-03-21,43,Uzbekistan,0,0,43.0,0.0,0.0,43.0,0.0,,,0.303,0,0,0,49.0
2020-03-22,43,Uzbekistan,0,0,43.0,0.0,0.0,43.0,0.0,,,0.0,0,0,0,49.0
2020-03-23,46,Uzbekistan,0,0,46.0,0.0,0.0,46.0,0.0,,,0.07,0,0,0,52.0
2020-03-24,50,Uzbekistan,0,0,50.0,0.0,0.0,50.0,0.0,,,0.087,0,0,0,57.0
2020-03-25,60,Uzbekistan,0,0,60.0,0.0,0.0,60.0,0.0,,,0.2,0,0,0,68.0
