Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-23 17:00:00,Vietnam,13.2904027,108.42651129999999,0.0,2.0,0.0,0.0,2.0,2.0,0,0,0,0,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-01-24 17:00:00,Vietnam,13.2904027,108.42651129999999,0.0,2.0,0.0,0.0,2.0,2.0,1,1,1,1,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0
2020-01-25 17:00:00,Vietnam,13.2904027,108.42651129999999,0.0,2.0,0.0,0.0,2.0,2.0,2,2,2,2,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0
2020-01-26 16:00:00,Vietnam,13.2904027,108.42651129999999,0.0,2.0,0.0,0.0,2.0,2.0,3,3,3,3,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0
2020-01-27 23:59:00,Vietnam,13.2904027,108.42651129999999,0.0,2.0,0.0,0.0,2.0,2.0,4,4,4,4,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0
2020-01-28 23:00:00,Vietnam,13.2904027,108.42651129999999,0.0,2.0,0.0,0.0,2.0,2.0,5,5,5,5,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0
2020-01-29 19:30:00,Vietnam,13.2904027,108.42651129999999,0.0,2.0,0.0,0.0,2.0,2.0,6,6,6,6,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0
2020-01-30 16:00:00,Vietnam,13.2904027,108.42651129999999,0.0,2.0,0.0,0.0,2.0,2.0,7,7,7,7,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0
2020-01-31 23:59:00,Vietnam,13.2904027,108.42651129999999,0.0,2.0,0.0,0.0,2.0,2.0,8,8,8,8,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0
2020-02-01 07:38:00,Vietnam,13.2904027,108.42651129999999,0.0,6.0,0.0,1.0,6.0,5.0,9,9,9,9,0.0,6.0,0.0,1.0,5.0,0.0,,inf,2.0,0.0,0.0,0.0,7.0
2020-02-01 07:38:12,Vietnam,13.2904027,108.42651129999999,0.0,6.0,0.0,1.0,6.0,5.0,10,10,10,10,0.0,6.0,0.0,1.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,7.0
2020-02-03 21:43:02,Vietnam,39.8712081,325.27953389999993,0.0,24.0,0.0,3.0,24.0,21.0,36,36,36,36,0.0,24.0,0.0,3.0,21.0,0.0,,2.0,3.0,0.0,0.0,0.0,27.0
2020-02-06 01:13:08,Vietnam,26.5808054,216.85302259999997,0.0,20.0,0.0,2.0,20.0,18.0,29,29,29,29,0.0,20.0,0.0,2.0,18.0,0.0,,-0.333,-0.167,0.0,0.0,0.0,23.0
2020-02-08 07:23:04,Vietnam,26.5808054,216.85302259999997,0.0,26.0,0.0,2.0,26.0,24.0,33,33,33,33,0.0,26.0,0.0,2.0,24.0,0.0,,0.0,0.3,0.0,0.0,0.0,30.0
2020-02-10 03:03:09,Vietnam,13.2904027,108.42651129999999,0.0,14.0,0.0,1.0,14.0,13.0,18,18,18,18,0.0,14.0,0.0,1.0,13.0,0.0,,-0.5,-0.462,0.0,0.0,0.0,16.0
2020-02-11 16:43:06,Vietnam,26.5808054,216.85302259999997,0.0,30.0,0.0,12.0,30.0,18.0,39,39,39,39,0.0,30.0,0.0,12.0,18.0,0.0,,11.0,1.143,0.0,0.0,0.0,34.0
2020-02-13 06:33:02,Vietnam,106.3232216,867.4120904,0.0,128.0,0.0,56.0,128.0,72.0,196,196,196,196,0.0,128.0,0.0,56.0,72.0,0.0,,3.667,3.267,0.0,0.0,0.0,146.0
2020-02-21 06:03:04,Vietnam,53.1616108,433.70604519999995,0.0,64.0,0.0,56.0,64.0,8.0,122,122,122,122,0.0,64.0,0.0,56.0,8.0,0.0,,0.0,-0.5,0.0,0.0,0.0,73.0
2020-02-25 08:53:02,Vietnam,66.45201349999999,542.1325565,0.0,176.0,0.0,176.0,176.0,0.0,418,11589,418,418,0.0,176.0,0.0,176.0,0.0,0.0,,2.143,1.75,0.0,0.0,0.0,201.0
2020-03-07 10:13:23,Vietnam,0.0,0.0,0.0,18.0,0.0,16.0,18.0,2.0,44,3264,44,44,0.0,18.0,0.0,16.0,2.0,0.0,,-0.909,-0.898,0.0,0.0,0.0,21.0
