index,Day,Confirmed,Deaths,Recovered,Active Cases,Cases,Death Rate,Recovery Rate,New Deaths,New Recovered,New Cases,New Case Rate,New Death Rate
2,2,3334.0,59.0,714.0,2561.0,2620.0,0.01769646070785843,0.21415716856628675,-41.0,-675.0,-2904.0,-2.8344914718888186,-1.911111111111111
3,3,4643.0,119.0,111.0,4413.0,4532.0,0.025629980615981048,0.02390695670902434,60.0,-603.0,1309.0,-1.4507575757575757,-2.4634146341463414
4,4,5885.0,148.0,147.0,5590.0,5738.0,0.025148683092608325,0.02497875955819881,29.0,36.0,1242.0,-0.05118411000763945,-0.5166666666666666
5,5,8393.0,201.0,209.0,7983.0,8184.0,0.0239485285356845,0.02490170380078637,53.0,62.0,2508.0,1.0193236714975846,0.8275862068965518
6,6,11588.0,347.0,273.0,10968.0,11315.0,0.029944770452191922,0.023558853986882983,146.0,64.0,3195.0,0.27392344497607657,1.7547169811320753
7,7,10760.0,198.0,312.0,10250.0,10448.0,0.018401486988847585,0.02899628252788104,-149.0,39.0,-828.0,-1.2591549295774649,-2.0205479452054798
8,8,14257.0,254.0,343.0,13660.0,13914.0,0.017815809777653083,0.02405835729816932,56.0,31.0,3497.0,-5.223429951690822,-1.3758389261744965
9,9,16032.0,314.0,494.0,15224.0,15538.0,0.019585828343313374,0.030813373253493013,60.0,151.0,1775.0,-0.4924220760651987,0.0714285714285714
10,10,20671.0,396.0,603.0,19672.0,20068.0,0.01915727347491655,0.0291713027913502,82.0,109.0,4639.0,1.6135211267605634,0.3666666666666667
11,11,27402.0,545.0,949.0,25908.0,26453.0,0.019889059192759653,0.03463250857601635,149.0,346.0,6731.0,0.45095925846087526,0.8170731707317074
12,12,31423.0,617.0,1264.0,29542.0,30159.0,0.019635298984820037,0.04022531266906406,72.0,315.0,4021.0,-0.40261476749368597,-0.5167785234899329
13,13,40834.0,758.0,1672.0,38404.0,39162.0,0.018562962237351228,0.040946270264975264,141.0,408.0,9411.0,1.3404625714996268,0.9583333333333333
14,14,46505.0,901.0,2391.0,43213.0,44114.0,0.019374260832168585,0.05141382647027201,143.0,719.0,5671.0,-0.3974072893422591,0.014184397163120588
15,15,52175.0,1017.0,2987.0,48171.0,49188.0,0.019492093914710112,0.057249640632486824,116.0,596.0,5670.0,-0.00017633574325515156,-0.18881118881118886
