Province/State,Country/Region,Lat,Long,Date,Observation,Observation Type
,Afghanistan,33.0,65.0,2020-02-24,1,Confirmed
,Afghanistan,33.0,65.0,2020-02-25,1,Confirmed
,Afghanistan,33.0,65.0,2020-02-26,1,Confirmed
,Afghanistan,33.0,65.0,2020-02-27,1,Confirmed
,Afghanistan,33.0,65.0,2020-02-28,1,Confirmed
,Afghanistan,33.0,65.0,2020-02-29,1,Confirmed
,Afghanistan,33.0,65.0,2020-03-01,1,Confirmed
,Afghanistan,33.0,65.0,2020-03-02,1,Confirmed
,Afghanistan,33.0,65.0,2020-03-03,1,Confirmed
,Afghanistan,33.0,65.0,2020-03-04,1,Confirmed
,Afghanistan,33.0,65.0,2020-03-05,1,Confirmed
,Afghanistan,33.0,65.0,2020-03-06,1,Confirmed
,Afghanistan,33.0,65.0,2020-03-07,1,Confirmed
,Afghanistan,33.0,65.0,2020-03-08,4,Confirmed
,Afghanistan,33.0,65.0,2020-03-09,4,Confirmed
,Afghanistan,33.0,65.0,2020-03-10,5,Confirmed
,Afghanistan,33.0,65.0,2020-03-11,7,Confirmed
,Afghanistan,33.0,65.0,2020-03-12,7,Confirmed
,Afghanistan,33.0,65.0,2020-03-13,7,Confirmed
,Afghanistan,33.0,65.0,2020-03-14,11,Confirmed
,Afghanistan,33.0,65.0,2020-03-15,16,Confirmed
,Afghanistan,33.0,65.0,2020-03-16,1,Recovered
,Afghanistan,33.0,65.0,2020-03-16,21,Confirmed
,Afghanistan,33.0,65.0,2020-03-17,1,Recovered
,Afghanistan,33.0,65.0,2020-03-17,22,Confirmed
,Afghanistan,33.0,65.0,2020-03-18,1,Recovered
,Afghanistan,33.0,65.0,2020-03-18,22,Confirmed
,Afghanistan,33.0,65.0,2020-03-19,1,Recovered
,Afghanistan,33.0,65.0,2020-03-19,22,Confirmed
,Afghanistan,33.0,65.0,2020-03-20,1,Recovered
,Afghanistan,33.0,65.0,2020-03-20,24,Confirmed
,Afghanistan,33.0,65.0,2020-03-21,1,Recovered
,Afghanistan,33.0,65.0,2020-03-21,24,Confirmed
,Afghanistan,33.0,65.0,2020-03-22,1,Death
,Afghanistan,33.0,65.0,2020-03-22,1,Recovered
,Afghanistan,33.0,65.0,2020-03-22,40,Confirmed
,Afghanistan,33.0,65.0,2020-03-23,1,Death
,Afghanistan,33.0,65.0,2020-03-23,1,Recovered
,Afghanistan,33.0,65.0,2020-03-23,40,Confirmed
,Afghanistan,33.0,65.0,2020-03-24,1,Death
,Afghanistan,33.0,65.0,2020-03-24,1,Recovered
,Afghanistan,33.0,65.0,2020-03-24,74,Confirmed
,Afghanistan,33.0,65.0,2020-03-25,2,Death
,Afghanistan,33.0,65.0,2020-03-25,2,Recovered
,Afghanistan,33.0,65.0,2020-03-25,84,Confirmed
,Afghanistan,33.0,65.0,2020-03-26,4,Death
,Afghanistan,33.0,65.0,2020-03-26,2,Recovered
,Afghanistan,33.0,65.0,2020-03-26,94,Confirmed
,Afghanistan,33.0,65.0,2020-03-27,4,Death
,Afghanistan,33.0,65.0,2020-03-27,2,Recovered
,Afghanistan,33.0,65.0,2020-03-27,110,Confirmed
,Albania,41.1533,20.1683,2020-03-09,2,Confirmed
,Albania,41.1533,20.1683,2020-03-10,10,Confirmed
,Albania,41.1533,20.1683,2020-03-11,1,Death
,Albania,41.1533,20.1683,2020-03-11,12,Confirmed
,Albania,41.1533,20.1683,2020-03-12,1,Death
,Albania,41.1533,20.1683,2020-03-12,23,Confirmed
,Albania,41.1533,20.1683,2020-03-13,1,Death
,Albania,41.1533,20.1683,2020-03-13,33,Confirmed
,Albania,41.1533,20.1683,2020-03-14,1,Death
,Albania,41.1533,20.1683,2020-03-14,38,Confirmed
,Albania,41.1533,20.1683,2020-03-15,1,Death
,Albania,41.1533,20.1683,2020-03-15,42,Confirmed
,Albania,41.1533,20.1683,2020-03-16,1,Death
,Albania,41.1533,20.1683,2020-03-16,51,Confirmed
,Albania,41.1533,20.1683,2020-03-17,1,Death
,Albania,41.1533,20.1683,2020-03-17,55,Confirmed
,Albania,41.1533,20.1683,2020-03-18,2,Death
,Albania,41.1533,20.1683,2020-03-18,59,Confirmed
,Albania,41.1533,20.1683,2020-03-19,2,Death
,Albania,41.1533,20.1683,2020-03-19,64,Confirmed
,Albania,41.1533,20.1683,2020-03-20,2,Death
,Albania,41.1533,20.1683,2020-03-20,70,Confirmed
,Albania,41.1533,20.1683,2020-03-21,2,Death
,Albania,41.1533,20.1683,2020-03-21,2,Recovered
,Albania,41.1533,20.1683,2020-03-21,76,Confirmed
,Albania,41.1533,20.1683,2020-03-22,2,Death
,Albania,41.1533,20.1683,2020-03-22,2,Recovered
,Albania,41.1533,20.1683,2020-03-22,89,Confirmed
,Albania,41.1533,20.1683,2020-03-23,4,Death
,Albania,41.1533,20.1683,2020-03-23,2,Recovered
,Albania,41.1533,20.1683,2020-03-23,104,Confirmed
,Albania,41.1533,20.1683,2020-03-24,5,Death
,Albania,41.1533,20.1683,2020-03-24,10,Recovered
,Albania,41.1533,20.1683,2020-03-24,123,Confirmed
,Albania,41.1533,20.1683,2020-03-25,5,Death
,Albania,41.1533,20.1683,2020-03-25,17,Recovered
,Albania,41.1533,20.1683,2020-03-25,146,Confirmed
,Albania,41.1533,20.1683,2020-03-26,6,Death
,Albania,41.1533,20.1683,2020-03-26,17,Recovered
,Albania,41.1533,20.1683,2020-03-26,174,Confirmed
,Albania,41.1533,20.1683,2020-03-27,8,Death
,Albania,41.1533,20.1683,2020-03-27,31,Recovered
,Albania,41.1533,20.1683,2020-03-27,186,Confirmed
,Algeria,28.0339,1.6596,2020-02-25,1,Confirmed
,Algeria,28.0339,1.6596,2020-02-26,1,Confirmed
,Algeria,28.0339,1.6596,2020-02-27,1,Confirmed
,Algeria,28.0339,1.6596,2020-02-28,1,Confirmed
,Algeria,28.0339,1.6596,2020-02-29,1,Confirmed
,Algeria,28.0339,1.6596,2020-03-01,1,Confirmed
,Algeria,28.0339,1.6596,2020-03-02,3,Confirmed
,Algeria,28.0339,1.6596,2020-03-03,5,Confirmed
,Algeria,28.0339,1.6596,2020-03-04,12,Confirmed
,Algeria,28.0339,1.6596,2020-03-05,12,Confirmed
,Algeria,28.0339,1.6596,2020-03-06,17,Confirmed
,Algeria,28.0339,1.6596,2020-03-07,17,Confirmed
,Algeria,28.0339,1.6596,2020-03-08,19,Confirmed
,Algeria,28.0339,1.6596,2020-03-09,20,Confirmed
,Algeria,28.0339,1.6596,2020-03-10,20,Confirmed
,Algeria,28.0339,1.6596,2020-03-11,20,Confirmed
,Algeria,28.0339,1.6596,2020-03-12,1,Death
,Algeria,28.0339,1.6596,2020-03-12,8,Recovered
,Algeria,28.0339,1.6596,2020-03-12,24,Confirmed
,Algeria,28.0339,1.6596,2020-03-13,2,Death
,Algeria,28.0339,1.6596,2020-03-13,8,Recovered
,Algeria,28.0339,1.6596,2020-03-13,26,Confirmed
,Algeria,28.0339,1.6596,2020-03-14,3,Death
,Algeria,28.0339,1.6596,2020-03-14,12,Recovered
,Algeria,28.0339,1.6596,2020-03-14,37,Confirmed
,Algeria,28.0339,1.6596,2020-03-15,4,Death
,Algeria,28.0339,1.6596,2020-03-15,12,Recovered
,Algeria,28.0339,1.6596,2020-03-15,48,Confirmed
,Algeria,28.0339,1.6596,2020-03-16,4,Death
,Algeria,28.0339,1.6596,2020-03-16,12,Recovered
,Algeria,28.0339,1.6596,2020-03-16,54,Confirmed
,Algeria,28.0339,1.6596,2020-03-17,4,Death
,Algeria,28.0339,1.6596,2020-03-17,12,Recovered
,Algeria,28.0339,1.6596,2020-03-17,60,Confirmed
,Algeria,28.0339,1.6596,2020-03-18,7,Death
,Algeria,28.0339,1.6596,2020-03-18,12,Recovered
,Algeria,28.0339,1.6596,2020-03-18,74,Confirmed
,Algeria,28.0339,1.6596,2020-03-19,9,Death
,Algeria,28.0339,1.6596,2020-03-19,32,Recovered
,Algeria,28.0339,1.6596,2020-03-19,87,Confirmed
,Algeria,28.0339,1.6596,2020-03-20,11,Death
,Algeria,28.0339,1.6596,2020-03-20,32,Recovered
,Algeria,28.0339,1.6596,2020-03-20,90,Confirmed
,Algeria,28.0339,1.6596,2020-03-21,15,Death
,Algeria,28.0339,1.6596,2020-03-21,32,Recovered
,Algeria,28.0339,1.6596,2020-03-21,139,Confirmed
,Algeria,28.0339,1.6596,2020-03-22,17,Death
,Algeria,28.0339,1.6596,2020-03-22,65,Recovered
,Algeria,28.0339,1.6596,2020-03-22,201,Confirmed
,Algeria,28.0339,1.6596,2020-03-23,17,Death
,Algeria,28.0339,1.6596,2020-03-23,65,Recovered
,Algeria,28.0339,1.6596,2020-03-23,230,Confirmed
,Algeria,28.0339,1.6596,2020-03-24,19,Death
,Algeria,28.0339,1.6596,2020-03-24,24,Recovered
,Algeria,28.0339,1.6596,2020-03-24,264,Confirmed
,Algeria,28.0339,1.6596,2020-03-25,21,Death
,Algeria,28.0339,1.6596,2020-03-25,65,Recovered
,Algeria,28.0339,1.6596,2020-03-25,302,Confirmed
,Algeria,28.0339,1.6596,2020-03-26,25,Death
,Algeria,28.0339,1.6596,2020-03-26,29,Recovered
,Algeria,28.0339,1.6596,2020-03-26,367,Confirmed
,Algeria,28.0339,1.6596,2020-03-27,26,Death
,Algeria,28.0339,1.6596,2020-03-27,29,Recovered
,Algeria,28.0339,1.6596,2020-03-27,409,Confirmed
,Andorra,42.5063,1.5218,2020-03-02,1,Confirmed
,Andorra,42.5063,1.5218,2020-03-03,1,Confirmed
,Andorra,42.5063,1.5218,2020-03-04,1,Confirmed
,Andorra,42.5063,1.5218,2020-03-05,1,Confirmed
,Andorra,42.5063,1.5218,2020-03-06,1,Confirmed
,Andorra,42.5063,1.5218,2020-03-07,1,Confirmed
,Andorra,42.5063,1.5218,2020-03-08,1,Confirmed
,Andorra,42.5063,1.5218,2020-03-09,1,Confirmed
,Andorra,42.5063,1.5218,2020-03-10,1,Confirmed
,Andorra,42.5063,1.5218,2020-03-11,1,Confirmed
,Andorra,42.5063,1.5218,2020-03-12,1,Recovered
,Andorra,42.5063,1.5218,2020-03-12,1,Confirmed
,Andorra,42.5063,1.5218,2020-03-13,1,Confirmed
,Andorra,42.5063,1.5218,2020-03-14,1,Recovered
,Andorra,42.5063,1.5218,2020-03-14,1,Confirmed
,Andorra,42.5063,1.5218,2020-03-15,1,Recovered
,Andorra,42.5063,1.5218,2020-03-15,1,Confirmed
,Andorra,42.5063,1.5218,2020-03-16,1,Recovered
,Andorra,42.5063,1.5218,2020-03-16,2,Confirmed
,Andorra,42.5063,1.5218,2020-03-17,1,Recovered
,Andorra,42.5063,1.5218,2020-03-17,39,Confirmed
,Andorra,42.5063,1.5218,2020-03-18,1,Recovered
,Andorra,42.5063,1.5218,2020-03-18,39,Confirmed
,Andorra,42.5063,1.5218,2020-03-19,1,Recovered
,Andorra,42.5063,1.5218,2020-03-19,53,Confirmed
,Andorra,42.5063,1.5218,2020-03-20,1,Recovered
,Andorra,42.5063,1.5218,2020-03-20,75,Confirmed
,Andorra,42.5063,1.5218,2020-03-21,1,Recovered
,Andorra,42.5063,1.5218,2020-03-21,88,Confirmed
,Andorra,42.5063,1.5218,2020-03-22,1,Death
,Andorra,42.5063,1.5218,2020-03-22,1,Recovered
,Andorra,42.5063,1.5218,2020-03-22,113,Confirmed
,Andorra,42.5063,1.5218,2020-03-23,1,Death
,Andorra,42.5063,1.5218,2020-03-23,1,Recovered
,Andorra,42.5063,1.5218,2020-03-23,133,Confirmed
,Andorra,42.5063,1.5218,2020-03-24,1,Death
,Andorra,42.5063,1.5218,2020-03-24,1,Recovered
,Andorra,42.5063,1.5218,2020-03-24,164,Confirmed
,Andorra,42.5063,1.5218,2020-03-25,1,Death
,Andorra,42.5063,1.5218,2020-03-25,1,Recovered
,Andorra,42.5063,1.5218,2020-03-25,188,Confirmed
,Andorra,42.5063,1.5218,2020-03-26,3,Death
,Andorra,42.5063,1.5218,2020-03-26,1,Recovered
,Andorra,42.5063,1.5218,2020-03-26,224,Confirmed
,Andorra,42.5063,1.5218,2020-03-27,3,Death
,Andorra,42.5063,1.5218,2020-03-27,1,Recovered
,Andorra,42.5063,1.5218,2020-03-27,267,Confirmed
,Angola,-11.2027,17.8739,2020-03-20,1,Confirmed
,Angola,-11.2027,17.8739,2020-03-21,2,Confirmed
,Angola,-11.2027,17.8739,2020-03-22,2,Confirmed
,Angola,-11.2027,17.8739,2020-03-23,3,Confirmed
