Date,Confirmed,Death,Recovered,Day,Active Cases,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Total Confirmed,Total Deaths,Total Recovered,Likely Cases C86
2020-01-22,555.0,17.0,28.0,555.0,510.0,1700.0,3060.0,5950.0,0.031,,,,555.0,17.0,28.0,581.4
2020-01-23,653.0,18.0,30.0,653.0,605.0,1800.0,3240.0,6300.0,0.028,0.05882352941176472,0.0714285714285714,0.17657657657657655,653.0,18.0,30.0,689.6999999999999
2020-01-24,941.0,26.0,36.0,941.0,879.0,2600.0,4680.0,9100.0,0.028,0.4444444444444444,0.19999999999999996,0.44104134762633995,941.0,26.0,36.0,1002.06
2020-01-25,1434.0,42.0,39.0,1434.0,1353.0,4200.0,7560.0,14700.0,0.029,0.6153846153846154,0.08333333333333326,0.5239107332624866,1434.0,42.0,39.0,1542.4199999999998
2020-01-26,2118.0,56.0,52.0,2118.0,2010.0,5600.0,10080.0,19600.0,0.026,0.33333333333333326,0.33333333333333326,0.4769874476987448,2118.0,56.0,52.0,2291.3999999999996
2020-01-27,2927.0,82.0,61.0,2927.0,2784.0,8200.0,14760.0,28700.0,0.028,0.4642857142857142,0.17307692307692313,0.38196411709159594,2927.0,82.0,61.0,3173.7599999999998
2020-01-28,5578.0,131.0,107.0,5578.0,5340.0,13100.0,23580.0,45850.0,0.023,0.5975609756097562,0.7540983606557377,0.9057055005124701,5578.0,131.0,107.0,6087.599999999999
2020-01-29,6166.0,133.0,126.0,6166.0,5907.0,13300.0,23940.0,46550.0,0.022,0.01526717557251911,0.17757009345794383,0.10541412692721397,6166.0,133.0,126.0,6733.98
2020-01-30,8234.0,171.0,143.0,8234.0,7920.0,17100.0,30780.0,59850.0,0.021,0.2857142857142858,0.13492063492063489,0.3353876094712942,8234.0,171.0,143.0,9028.8
2020-01-31,9927.0,213.0,222.0,9927.0,9492.0,21300.0,38340.0,74550.0,0.021,0.2456140350877194,0.5524475524475525,0.2056108817099831,9927.0,213.0,222.0,10820.88
2020-02-01,12038.0,259.0,284.0,12038.0,11495.0,25900.0,46620.0,90650.0,0.022,0.215962441314554,0.2792792792792793,0.2126523622443841,12038.0,259.0,284.0,13104.3
2020-02-02,16787.0,362.0,472.0,16787.0,15953.0,36200.0,65160.0,126700.0,0.022,0.3976833976833978,0.6619718309859155,0.3945007476324971,16787.0,362.0,472.0,18186.42
2020-02-03,19881.0,426.0,623.0,19881.0,18832.0,42600.0,76680.0,149100.0,0.021,0.17679558011049723,0.31991525423728806,0.18430928694823367,19881.0,426.0,623.0,21468.48
2020-02-04,23892.0,492.0,852.0,23892.0,22548.0,49200.0,88560.0,172200.0,0.021,0.15492957746478875,0.3675762439807384,0.20175041496906587,23892.0,492.0,852.0,25704.719999999998
2020-02-05,27635.0,564.0,1124.0,27635.0,25947.0,56400.0,101520.0,197400.0,0.02,0.14634146341463405,0.31924882629107976,0.15666331826552815,27635.0,564.0,1124.0,29579.579999999998
2020-02-06,30817.0,634.0,1487.0,30817.0,28696.0,63400.0,114120.0,221900.0,0.021,0.12411347517730498,0.3229537366548043,0.11514383933417771,30817.0,634.0,1487.0,32713.44
2020-02-07,34391.0,719.0,2011.0,34391.0,31661.0,71900.0,129420.0,251650.0,0.021,0.13406940063091488,0.3523873570948217,0.11597494889184534,34391.0,719.0,2011.0,36093.53999999999
2020-02-08,37120.0,806.0,2616.0,37120.0,33698.0,80600.0,145080.0,282100.0,0.022,0.12100139082058425,0.3008453505718549,0.07935215608734847,37120.0,806.0,2616.0,38415.719999999994
2020-02-09,40150.0,906.0,3244.0,40150.0,36000.0,90600.0,163080.0,317100.0,0.023,0.12406947890818865,0.24006116207951078,0.0816271551724137,40150.0,906.0,3244.0,41040.0
2020-02-10,42762.0,1013.0,3946.0,42762.0,37803.0,101300.0,182340.0,354550.0,0.024,0.11810154525386318,0.21639950678175102,0.06505603985056041,42762.0,1013.0,3946.0,43095.42
2020-02-11,44802.0,1113.0,4683.0,44802.0,39006.0,111300.0,200340.0,389550.0,0.025,0.09871668311944726,0.1867714140902179,0.047705907113792634,44802.0,1113.0,4683.0,44466.84
2020-02-12,45221.0,1118.0,5150.0,45221.0,38953.0,111800.0,201240.0,391300.0,0.025,0.004492362982928988,0.09972240017083056,0.009352261059774047,45221.0,1118.0,5150.0,44406.42
2020-02-13,60368.0,1371.0,6295.0,60368.0,52702.0,137100.0,246780.0,479850.0,0.023,0.22629695885509848,0.22233009708737872,0.334954998783751,60368.0,1371.0,6295.0,60080.27999999999
2020-02-14,66885.0,1523.0,8058.0,66885.0,57304.0,152300.0,274140.0,533050.0,0.023,0.11086797957695116,0.28006354249404297,0.10795454545454541,66885.0,1523.0,8058.0,65326.56
2020-02-15,69030.0,1666.0,9395.0,69030.0,57969.0,166600.0,299880.0,583100.0,0.024,0.0938936309914642,0.16592206502854312,0.03206997084548102,69030.0,1666.0,9395.0,66084.65999999999
2020-02-16,71224.0,1770.0,10865.0,71224.0,58589.0,177000.0,318600.0,619500.0,0.025,0.062424969987995294,0.15646620542841938,0.03178328263074026,71224.0,1770.0,10865.0,66791.45999999999
2020-02-17,73258.0,1868.0,12583.0,73258.0,58807.0,186800.0,336240.0,653800.0,0.025,0.05536723163841817,0.15812241141279326,0.02855778950915422,73258.0,1868.0,12583.0,67039.98
2020-02-18,75136.0,2007.0,14352.0,75136.0,58777.0,200700.0,361260.0,702450.0,0.027,0.07441113490364026,0.1405865056027975,0.025635425482541052,75136.0,2007.0,14352.0,67005.78
2020-02-19,75639.0,2122.0,16121.0,75639.0,57396.0,212200.0,381960.0,742700.0,0.028,0.05729945191828589,0.12325808249721293,0.00669452725724029,75639.0,2122.0,16121.0,65431.439999999995
2020-02-20,76197.0,2247.0,18177.0,76197.0,55773.0,224700.0,404460.0,786450.0,0.029,0.05890669180018859,0.12753551268531726,0.0073771467100305355,76197.0,2247.0,18177.0,63581.219999999994
2020-02-21,76823.0,2251.0,18890.0,76823.0,55682.0,225100.0,405180.0,787850.0,0.029,0.0017801513128616886,0.03922539472960329,0.008215546543827168,76823.0,2251.0,18890.0,63477.479999999996
2020-02-22,78579.0,2458.0,22886.0,78579.0,53235.0,245800.0,442440.0,860300.0,0.031,0.09195912927587746,0.21154049761778726,0.022857737917030052,78579.0,2458.0,22886.0,60687.899999999994
2020-02-23,78965.0,2469.0,23394.0,78965.0,53102.0,246900.0,444420.0,864150.0,0.031,0.004475183075671296,0.022196976317399253,0.0049122539100776574,78965.0,2469.0,23394.0,60536.27999999999
2020-02-24,79568.0,2629.0,25227.0,79568.0,51712.0,262900.0,473220.0,920150.0,0.033,0.06480356419603073,0.07835342395486022,0.00763629456088144,79568.0,2629.0,25227.0,58951.67999999999
2020-02-25,80413.0,2708.0,27905.0,80413.0,49800.0,270800.0,487440.0,947800.0,0.034,0.030049448459490202,0.1061561025884965,0.010619847174743624,80413.0,2708.0,27905.0,56771.99999999999
2020-02-26,81395.0,2770.0,30384.0,81395.0,48241.0,277000.0,498600.0,969500.0,0.034,0.022895125553914264,0.08883712596308913,0.012211955778294481,81395.0,2770.0,30384.0,54994.74
2020-02-27,82754.0,2814.0,33277.0,82754.0,46663.0,281400.0,506520.0,984900.0,0.034,0.015884476534296033,0.0952145866245393,0.016696357270102657,82754.0,2814.0,33277.0,53195.81999999999
2020-02-28,84120.0,2872.0,36711.0,84120.0,44537.0,287200.0,516960.0,1005200.0,0.034,0.020611229566453337,0.10319439853352175,0.01650675496048537,84120.0,2872.0,36711.0,50772.17999999999
2020-02-29,86011.0,2941.0,39782.0,86011.0,43288.0,294100.0,529380.0,1029350.0,0.034,0.02402506963788298,0.0836534008880172,0.02247979077508311,86011.0,2941.0,39782.0,49348.31999999999
2020-03-01,88369.0,2996.0,42716.0,88369.0,42657.0,299600.0,539280.0,1048600.0,0.034,0.018701122067324105,0.07375194811723884,0.027415098068851673,88369.0,2996.0,42716.0,48628.979999999996
2020-03-02,90306.0,3085.0,45602.0,90306.0,41619.0,308500.0,555300.0,1079750.0,0.034,0.02970627503337786,0.06756250585260792,0.021919451391325007,90306.0,3085.0,45602.0,47445.659999999996
2020-03-03,92840.0,3160.0,48228.0,92840.0,41452.0,316000.0,568800.0,1106000.0,0.034,0.024311183144246407,0.05758519363185832,0.02806015104201265,92840.0,3160.0,48228.0,47255.28
2020-03-04,95120.0,3254.0,51170.0,95120.0,40696.0,325400.0,585720.0,1138900.0,0.034,0.02974683544303791,0.06100190760554036,0.024558380008616876,95120.0,3254.0,51170.0,46393.439999999995
2020-03-05,97882.0,3348.0,53796.0,97882.0,40738.0,334800.0,602640.0,1171800.0,0.034,0.028887523048555686,0.05131913230408447,0.029037005887300182,97882.0,3348.0,53796.0,46441.31999999999
2020-03-06,101784.0,3460.0,55865.0,101784.0,42459.0,346000.0,622800.0,1211000.0,0.034,0.03345280764635605,0.03846010855825721,0.03986432643386939,101784.0,3460.0,55865.0,48403.259999999995
2020-03-07,105821.0,3558.0,58358.0,105821.0,43905.0,355800.0,640440.0,1245300.0,0.034,0.02832369942196533,0.044625436319699174,0.03966242238465778,105821.0,3558.0,58358.0,50051.7
2020-03-08,109795.0,3802.0,60694.0,109795.0,45299.0,380200.0,684360.0,1330700.0,0.035,0.06857785272625061,0.0400287878268617,0.037553982668846464,109795.0,3802.0,60694.0,51640.85999999999
2020-03-09,113561.0,3988.0,62494.0,113561.0,47079.0,398800.0,717840.0,1395800.0,0.035,0.048921620199894766,0.029656967739809525,0.03430028689831044,113561.0,3988.0,62494.0,53670.06
2020-03-10,118592.0,4262.0,64404.0,118592.0,49926.0,426200.0,767160.0,1491700.0,0.036,0.06870611835506524,0.03056293404166799,0.04430218120657625,118592.0,4262.0,64404.0,56915.63999999999
2020-03-11,125865.0,4615.0,67003.0,125865.0,54247.0,461500.0,830700.0,1615250.0,0.037,0.0828249648052557,0.04035463635799008,0.06132791419320016,125865.0,4615.0,67003.0,61841.579999999994
2020-03-12,128343.0,4720.0,68324.0,128343.0,55299.0,472000.0,849600.0,1652000.0,0.037,0.02275189599133265,0.019715535125292893,0.01968776069598377,128343.0,4720.0,68324.0,63040.85999999999
2020-03-13,145193.0,5404.0,70251.0,145193.0,69538.0,540400.0,972720.0,1891400.0,0.037,0.14491525423728824,0.028203852233475768,0.13128881201156273,145193.0,5404.0,70251.0,79273.31999999999
2020-03-14,156094.0,5819.0,72624.0,156094.0,77651.0,581900.0,1047420.0,2036650.0,0.037,0.07679496669133967,0.033778878592475525,0.07507937710495693,156094.0,5819.0,72624.0,88522.14
2020-03-15,167446.0,6440.0,76034.0,167446.0,84972.0,644000.0,1159200.0,2254000.0,0.038,0.10671936758893286,0.04695417492839837,0.07272540904839397,167446.0,6440.0,76034.0,96868.07999999999
2020-03-16,181527.0,7126.0,78088.0,181527.0,96313.0,712600.0,1282680.0,2494100.0,0.039,0.10652173913043472,0.02701423047583984,0.0840927821506634,181527.0,7126.0,78088.0,109796.81999999999
2020-03-17,197142.0,7905.0,80840.0,197142.0,108397.0,790500.0,1422900.0,2766750.0,0.04,0.1093179904574797,0.03524229074889873,0.08602026144871,197142.0,7905.0,80840.0,123572.57999999999
2020-03-18,214910.0,8733.0,83207.0,214910.0,122970.0,873300.0,1571940.0,3056550.0,0.041,0.10474383301707779,0.02928005937654632,0.09012792809244097,214910.0,8733.0,83207.0,140185.8
2020-03-19,242708.0,9867.0,84854.0,242708.0,147987.0,986700.0,1776060.0,3453450.0,0.041,0.1298522844383374,0.01979400771569706,0.1293471685821972,242708.0,9867.0,84854.0,168705.18
2020-03-20,272166.0,11299.0,87256.0,272166.0,173611.0,1129900.0,2033820.0,3954650.0,0.042,0.1451302320867538,0.028307445730313185,0.12137218385879334,272166.0,11299.0,87256.0,197916.53999999998
