Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3
South Carolina,US,2020-04-12 13:59:44,34.22333378,-82.46170658,9,0,0,9,Abbeville,45001.0,"Abbeville, South Carolina, US",36.69425531047417,,,84045001.0,USA
Louisiana,US,2020-04-12 13:59:44,30.2950649,-92.41419698,98,4,0,94,Acadia,22001.0,"Acadia, Louisiana, US",157.94987509066004,,,84022001.0,USA
Virginia,US,2020-04-12 13:59:44,37.76707161,-75.63234615,15,0,0,15,Accomack,51001.0,"Accomack, Virginia, US",46.41663572224285,,,84051001.0,USA
Idaho,US,2020-04-12 13:59:44,43.4526575,-116.24155159999998,517,6,0,511,Ada,16001.0,"Ada, Idaho, US",107.35339616725534,,,84016001.0,USA
Iowa,US,2020-04-12 13:59:44,41.33075609,-94.47105874,1,0,0,1,Adair,19001.0,"Adair, Iowa, US",13.982102908277405,,,84019001.0,USA
Kentucky,US,2020-04-12 13:59:44,37.10459774,-85.28129668,6,0,0,6,Adair,21001.0,"Adair, Kentucky, US",31.246745130715553,,,84021001.0,USA
Missouri,US,2020-04-12 13:59:44,40.19058551,-92.60078167,11,0,0,11,Adair,29001.0,"Adair, Missouri, US",43.40449039182417,,,84029001.0,USA
Oklahoma,US,2020-04-12 13:59:44,35.88494195,-94.65859267,27,2,0,25,Adair,40001.0,"Adair, Oklahoma, US",121.65450121654499,,,84040001.0,USA
Colorado,US,2020-04-12 13:59:44,39.87432092,-104.3362578,593,25,0,568,Adams,8001.0,"Adams, Colorado, US",114.60686752180527,,,84008001.0,USA
Idaho,US,2020-04-12 13:59:44,44.89333571,-116.4545247,1,0,0,1,Adams,16003.0,"Adams, Idaho, US",23.288309268747092,,,84016003.0,USA
Illinois,US,2020-04-12 13:59:44,39.98815591,-91.18786813,25,0,0,25,Adams,17001.0,"Adams, Illinois, US",38.20585313670054,,,84017001.0,USA
Indiana,US,2020-04-12 13:59:44,40.7457653,-84.93671406,4,0,0,4,Adams,18001.0,"Adams, Indiana, US",11.180367275064986,,,84018001.0,USA
Mississippi,US,2020-04-12 13:59:44,31.47669768,-91.35326037,49,1,0,48,Adams,28001.0,"Adams, Mississippi, US",159.6455217802105,,,84028001.0,USA
Nebraska,US,2020-04-12 13:59:44,40.52449420000001,-98.50117804,45,0,0,45,Adams,31001.0,"Adams, Nebraska, US",143.48117208175242,,,84031001.0,USA
Ohio,US,2020-04-12 13:59:44,38.84541072,-83.4718964,3,0,0,3,Adams,39001.0,"Adams, Ohio, US",10.831106939129178,,,84039001.0,USA
Pennsylvania,US,2020-04-12 13:59:44,39.87140411,-77.21610347,44,1,0,43,Adams,42001.0,"Adams, Pennsylvania, US",42.71471424826957,,,84042001.0,USA
Washington,US,2020-04-12 13:59:44,46.98299757,-118.5601734,36,0,0,36,Adams,53001.0,"Adams, Washington, US",180.15313016063652,,,84053001.0,USA
Wisconsin,US,2020-04-12 13:59:44,43.96974651,-89.76782777,2,0,0,2,Adams,55001.0,"Adams, Wisconsin, US",9.891196834817011,,,84055001.0,USA
Vermont,US,2020-04-12 13:59:44,44.03217337,-73.14130877,54,0,0,54,Addison,50001.0,"Addison, Vermont, US",146.83089974712456,,,84050001.0,USA
South Carolina,US,2020-04-12 13:59:44,33.54338026,-81.63645384,50,1,0,49,Aiken,45003.0,"Aiken, South Carolina, US",29.26166955381807,,,84045003.0,USA
Florida,US,2020-04-12 13:59:44,29.67866525,-82.35928158,174,0,0,174,Alachua,12001.0,"Alachua, Florida, US",64.67367669852031,,,84012001.0,USA
North Carolina,US,2020-04-12 13:59:44,36.0434701,-79.39976137,34,0,0,34,Alamance,37001.0,"Alamance, North Carolina, US",20.057932027207997,,,84037001.0,USA
California,US,2020-04-12 13:59:44,37.64629437,-121.8929271,808,21,0,787,Alameda,6001.0,"Alameda, California, US",48.344760367348385,,,84006001.0,USA
Colorado,US,2020-04-12 13:59:44,37.57250606,-105.7885451,7,2,0,5,Alamosa,8003.0,"Alamosa, Colorado, US",43.12203536006899,,,84008003.0,USA
New York,US,2020-04-12 13:59:44,42.60060306,-73.97723916,446,12,0,434,Albany,36001.0,"Albany, New York, US",145.9873128514661,,,84036001.0,USA
Wyoming,US,2020-04-12 13:59:44,41.65498705,-105.7235415,5,0,0,5,Albany,56001.0,"Albany, Wyoming, US",12.860082304526749,,,84056001.0,USA
Virginia,US,2020-04-12 13:59:44,38.02080697,-78.55481085,46,0,0,46,Albemarle,51003.0,"Albemarle, Virginia, US",42.07445348943566,,,84051003.0,USA
Mississippi,US,2020-04-12 13:59:44,34.88084463,-88.57996173,7,0,0,7,Alcorn,28003.0,"Alcorn, Mississippi, US",18.942981625307823,,,84028003.0,USA
North Carolina,US,2020-04-12 13:59:44,35.922379600000006,-81.17751948,2,0,0,2,Alexander,37003.0,"Alexander, North Carolina, US",5.3337600341360645,,,84037003.0,USA
Virginia,US,2020-04-12 13:59:44,38.814003,-77.08183073,188,1,0,187,Alexandria,51510.0,"Alexandria, Virginia, US",117.92156961136058,,,84051510.0,USA
Iowa,US,2020-04-12 13:59:44,43.28383218,-91.37860922,21,1,0,20,Allamakee,19005.0,"Allamakee, Iowa, US",153.43026229268645,,,84019005.0,USA
Michigan,US,2020-04-12 13:59:44,42.59147037,-85.89102866,19,0,0,19,Allegan,26005.0,"Allegan, Michigan, US",16.090649638807257,,,84026005.0,USA
Maryland,US,2020-04-12 13:59:44,39.62357628,-78.69280486,11,0,0,11,Allegany,24001.0,"Allegany, Maryland, US",15.621449670529426,,,84024001.0,USA
New York,US,2020-04-12 13:59:44,42.25748406,-78.02750466,26,1,0,25,Allegany,36003.0,"Allegany, New York, US",56.41014514764271,,,84036003.0,USA
North Carolina,US,2020-04-12 13:59:44,36.49360862,-81.12857041,2,0,0,2,Alleghany,37005.0,"Alleghany, North Carolina, US",17.95815749304121,,,84037005.0,USA
Virginia,US,2020-04-12 13:59:44,37.78636074,-80.00222498,4,0,0,4,Alleghany,51005.0,"Alleghany, Virginia, US",26.917900403768506,,,84051005.0,USA
Pennsylvania,US,2020-04-12 13:59:44,40.46809875,-79.98167747,836,19,0,817,Allegheny,42003.0,"Allegheny, Pennsylvania, US",68.7474558918461,,,84042003.0,USA
Indiana,US,2020-04-12 13:59:44,41.09194313,-85.06800636,136,10,0,126,Allen,18003.0,"Allen, Indiana, US",35.855617863479736,,,84018003.0,USA
Kentucky,US,2020-04-12 13:59:44,36.75197631,-86.19457544,3,0,0,3,Allen,21003.0,"Allen, Kentucky, US",14.074595355383533,,,84021003.0,USA
Louisiana,US,2020-04-12 13:59:44,30.65385745,-92.82442028,71,7,0,64,Allen,22003.0,"Allen, Louisiana, US",277.0515471963164,,,84022003.0,USA
Ohio,US,2020-04-12 13:59:44,40.77285242,-84.10802343,27,1,0,26,Allen,39003.0,"Allen, Ohio, US",26.379810651581327,,,84039003.0,USA
South Carolina,US,2020-04-12 13:59:44,32.98837386,-81.35321066,4,0,0,4,Allendale,45005.0,"Allendale, South Carolina, US",46.04051565377532,,,84045005.0,USA
Michigan,US,2020-04-12 13:59:44,45.03477666,-83.62212411,1,0,0,1,Alpena,26007.0,"Alpena, Michigan, US",3.5205069530012323,,,84026007.0,USA
California,US,2020-04-12 13:59:44,38.59678594,-119.8223594,2,0,0,2,Alpine,6003.0,"Alpine, California, US",177.14791851195747,,,84006003.0,USA
California,US,2020-04-12 13:59:44,38.44583082,-120.65696,7,0,0,7,Amador,6005.0,"Amador, California, US",17.609176896759912,,,84006005.0,USA
Virginia,US,2020-04-12 13:59:44,37.34081025,-77.98584649,9,0,0,9,Amelia,51007.0,"Amelia, Virginia, US",68.46709775580068,,,84051007.0,USA
Virginia,US,2020-04-12 13:59:44,37.60308293,-79.14548696,10,0,0,10,Amherst,51009.0,"Amherst, Virginia, US",31.640563202025,,,84051009.0,USA
Mississippi,US,2020-04-12 13:59:44,31.17467303,-90.80501621,11,1,0,10,Amite,28005.0,"Amite, Mississippi, US",89.45271204358788,,,84028005.0,USA
Alaska,US,2020-04-12 13:59:44,61.14998174,-149.14269860000005,121,4,0,117,Anchorage,2020.0,"Anchorage, Alaska, US",42.013888888888886,,,84002020.0,USA
Kansas,US,2020-04-12 13:59:44,38.21413251,-95.29272815,1,0,0,1,Anderson,20003.0,"Anderson, Kansas, US",12.725884448969204,,,84020003.0,USA
Kentucky,US,2020-04-12 13:59:44,38.00671029,-84.99171713,3,1,0,2,Anderson,21005.0,"Anderson, Kentucky, US",13.188552336571856,,,84021005.0,USA
South Carolina,US,2020-04-12 13:59:44,34.51828081,-82.63959517,102,5,0,97,Anderson,45007.0,"Anderson, South Carolina, US",50.355947432340365,,,84045007.0,USA
Tennessee,US,2020-04-12 13:59:44,36.12684348,-84.19965764,12,1,0,11,Anderson,47001.0,"Anderson, Tennessee, US",15.58886954714334,,,84047001.0,USA
Texas,US,2020-04-12 13:59:44,31.81534745,-95.65354823,3,0,0,3,Anderson,48001.0,"Anderson, Texas, US",5.1961548454143935,,,84048001.0,USA
Missouri,US,2020-04-12 13:59:44,39.98492163,-94.80163024,1,0,0,1,Andrew,29003.0,"Andrew, Missouri, US",5.645889792231256,,,84029003.0,USA
Texas,US,2020-04-12 13:59:44,32.30468633,-102.6376548,11,0,0,11,Andrews,48003.0,"Andrews, Texas, US",58.80780539962578,,,84048003.0,USA
Maine,US,2020-04-12 13:59:44,44.1664747,-70.20380627,27,0,0,27,Androscoggin,23001.0,"Androscoggin, Maine, US",24.936043665783128,,,84023001.0,USA
Texas,US,2020-04-12 13:59:44,31.25457347,-94.60901487,16,0,0,16,Angelina,48005.0,"Angelina, Texas, US",18.451248342270656,,,84048005.0,USA
Maryland,US,2020-04-12 13:59:44,39.00670238,-76.60329337,615,19,0,596,Anne Arundel,24003.0,"Anne Arundel, Maryland, US",106.17470659526201,,,84024003.0,USA
Minnesota,US,2020-04-12 13:59:44,45.27476015,-93.24604565,58,0,0,58,Anoka,27003.0,"Anoka, Minnesota, US",16.250094558739892,,,84027003.0,USA
North Carolina,US,2020-04-12 13:59:44,34.97403241,-80.09953279,10,0,0,10,Anson,37007.0,"Anson, North Carolina, US",40.906487768960154,,,84037007.0,USA
Nebraska,US,2020-04-12 13:59:44,42.17695516,-98.0666283,1,0,0,1,Antelope,31003.0,"Antelope, Nebraska, US",15.878056525881233,,,84031003.0,USA
Michigan,US,2020-04-12 13:59:44,44.99690221,-85.15503082,7,0,0,7,Antrim,26009.0,"Antrim, Michigan, US",30.01200480192077,,,84026009.0,USA
Arizona,US,2020-04-12 13:59:44,35.39465006,-109.4892383,66,0,0,66,Apache,4001.0,"Apache, Arizona, US",91.81075855161572,,,84004001.0,USA
Iowa,US,2020-04-12 13:59:44,40.74324454,-92.86865906,1,1,0,0,Appanoose,19007.0,"Appanoose, Iowa, US",8.047642040882021,,,84019007.0,USA
Georgia,US,2020-04-12 13:59:44,31.74847232,-82.28909114,9,0,0,9,Appling,13001.0,"Appling, Georgia, US",48.950288262808655,,,84013001.0,USA
Virginia,US,2020-04-12 13:59:44,37.37569884,-78.81340003,7,0,0,7,Appomattox,51011.0,"Appomattox, Virginia, US",43.99472063352398,,,84051011.0,USA
Texas,US,2020-04-12 13:59:44,28.10556197,-96.9995047,2,0,0,2,Aransas,48007.0,"Aransas, Texas, US",8.507018290089325,,,84048007.0,USA
Colorado,US,2020-04-12 13:59:44,39.64977461,-104.3353617,998,37,0,961,Arapahoe,8005.0,"Arapahoe, Colorado, US",151.997441325637,,,84008005.0,USA
Colorado,US,2020-04-12 13:59:44,37.19474156,-107.0476867,6,0,0,6,Archuleta,8007.0,"Archuleta, Colorado, US",42.76855085893506,,,84008007.0,USA
Michigan,US,2020-04-12 13:59:44,44.0636262,-83.89277559,4,0,0,4,Arenac,26011.0,"Arenac, Michigan, US",26.87630182086945,,,84026011.0,USA
Arkansas,US,2020-04-12 13:59:44,34.29145151,-91.37277296,2,0,0,2,Arkansas,5001.0,"Arkansas, Arkansas, US",11.437721605856115,,,84005001.0,USA
Virginia,US,2020-04-12 13:59:44,38.8767675,-77.10139853,349,2,0,347,Arlington,51013.0,"Arlington, Virginia, US",147.3556210469427,,,84051013.0,USA
Pennsylvania,US,2020-04-12 13:59:44,40.81665618,-79.46290811,26,1,0,25,Armstrong,42005.0,"Armstrong, Pennsylvania, US",40.16374449679462,,,84042005.0,USA
Maine,US,2020-04-12 13:59:44,46.65926321,-68.59841248,2,0,0,2,Aroostook,23003.0,"Aroostook, Maine, US",2.9826262023711876,,,84023003.0,USA
Louisiana,US,2020-04-12 13:59:44,30.20406249,-90.91328409999998,415,20,0,395,Ascension,22005.0,"Ascension, Louisiana, US",327.7937505923984,,,84022005.0,USA
North Carolina,US,2020-04-12 13:59:44,36.43296207,-81.49862729,4,0,0,4,Ashe,37009.0,"Ashe, North Carolina, US",14.704260559497115,,,84037009.0,USA
Ohio,US,2020-04-12 13:59:44,40.84772277,-82.27280781,5,0,0,5,Ashland,39005.0,"Ashland, Ohio, US",9.348590232592924,,,84039005.0,USA
Wisconsin,US,2020-04-12 13:59:44,46.31956891,-90.67837132,1,0,0,1,Ashland,55003.0,"Ashland, Wisconsin, US",6.425909266161161,,,84055003.0,USA
Arkansas,US,2020-04-12 13:59:44,33.19153461,-91.7698471,10,0,0,10,Ashley,5003.0,"Ashley, Arkansas, US",50.87246273592105,,,84005003.0,USA
Ohio,US,2020-04-12 13:59:44,41.70860332,-80.74830218,24,0,0,24,Ashtabula,39007.0,"Ashtabula, Ohio, US",24.680947337028623,,,84039007.0,USA
Washington,US,2020-04-12 13:59:44,46.18894415,-117.2022851,5,0,0,5,Asotin,53003.0,"Asotin, Washington, US",22.14152865113807,,,84053003.0,USA
Louisiana,US,2020-04-12 13:59:44,29.89946234,-91.06461642,109,1,0,108,Assumption,22007.0,"Assumption, Louisiana, US",497.9215202594674,,,84022007.0,USA
Texas,US,2020-04-12 13:59:44,28.89333001,-98.52730485,8,0,0,8,Atascosa,48013.0,"Atascosa, Texas, US",15.639356440482477,,,84048013.0,USA
Kansas,US,2020-04-12 13:59:44,39.53185661,-95.30870026,3,0,0,3,Atchison,20005.0,"Atchison, Kansas, US",18.664841659926587,,,84020005.0,USA
Missouri,US,2020-04-12 13:59:44,40.43238737,-95.42970639,1,0,0,1,Atchison,29005.0,"Atchison, Missouri, US",19.443904335990666,,,84029005.0,USA
Ohio,US,2020-04-12 13:59:44,39.33425634,-82.04278644,3,1,0,2,Athens,39009.0,"Athens, Ohio, US",4.592281904878534,,,84039009.0,USA
Georgia,US,2020-04-12 13:59:44,31.29633502,-82.87545866,2,0,0,2,Atkinson,13003.0,"Atkinson, Georgia, US",24.494794856093076,,,84013003.0,USA
