Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Australia,2020-05-15 14:32:16,-25.0,133.0,7020.0,98.0,6338.0,584.0,27.572987898521976,,,1.396011396011396,36,AUS
Austria,2020-05-15 14:32:16,47.5162,14.5501,16108.0,628.0,14471.0,1009.0,178.85059513235032,,,3.898683883784455,40,AUT
Canada,2020-05-15 14:32:16,60.00100000000001,-95.001,74782.0,5592.0,36104.0,33086.0,197.54487712313457,,,7.477735283891847,124,CAN
China,2020-05-15 14:32:16,30.5928,114.3055,84031.0,4637.0,79273.0,121.0,5.982232220001885,,,5.51820161607026,156,CHN
Denmark,2020-05-15 14:32:16,56.0,10.0,10989.0,537.0,9157.0,1295.0,189.72056055355802,,,4.886704886704886,208,DNK
Finland,2020-05-15 14:32:16,61.9241,25.7482,6228.0,293.0,5000.0,935.0,112.40420465362072,,,4.70456005138086,246,FIN
France,2020-05-15 14:32:16,46.2276,2.2137,178994.0,27428.0,59719.0,91847.0,274.22149431763376,,,15.323418662078057,250,FRA
Germany,2020-05-15 14:32:16,51.165691,10.451526,174478.0,7884.0,151547.0,15047.0,208.24753477530808,,,4.518621258840656,276,DEU
Iceland,2020-05-15 14:32:16,64.9631,-19.0208,1802.0,10.0,1782.0,10.0,528.0586080586081,,,0.5549389567147613,352,ISL
Ireland,2020-05-15 14:32:16,53.1424,-7.6921,23827.0,1506.0,19470.0,2851.0,482.5432237378782,,,6.320560708440005,372,IRL
Italy,2020-05-15 14:32:16,41.8719,12.5674,223096.0,31368.0,115288.0,76440.0,368.98652816120614,,,14.060314842041096,380,ITA
Netherlands,2020-05-15 14:32:16,52.3167,5.55,43880.0,5662.0,159.0,38059.0,256.0859365575689,,,12.903372835004554,528,NLD
Norway,2020-05-15 14:32:16,60.472,8.4689,8196.0,232.0,32.0,7932.0,151.18306838174718,,,2.8306490971205465,578,NOR
Russia,2020-05-15 14:32:16,61.524,105.3188,262843.0,2418.0,58226.0,202199.0,180.11030431057887,,,0.9199408011626712,643,RUS
Sweden,2020-05-15 14:32:16,60.1282,18.6435,29207.0,3646.0,4971.0,20590.0,289.1991203324597,,,12.483308795836615,752,SWE
Switzerland,2020-05-15 14:32:16,46.8182,8.2275,30514.0,1874.0,27100.0,1540.0,352.5747756862291,,,6.141443271940749,756,CHE
United Kingdom,2020-05-15 14:32:16,55.0,-3.0,234441.0,33693.0,1045.0,199703.0,345.3451170877579,,,14.371632948161798,826,GBR
US,2020-05-15 14:32:16,40.0,-100.0,1419998.0,85974.0,246414.0,1087320.0,430.99949016634287,,,6.054515569740238,840,USA
Spain,2020-05-15 14:32:16,40.463667,-3.74922,230183.0,27459.0,144783.0,57941.0,492.3196841700665,,,11.92920415495497,724,ESP
Afghanistan,2020-05-15 14:32:16,33.93911,67.709953,6053.0,153.0,745.0,5155.0,15.549082864846465,,,2.5276722286469515,4,AFG
Albania,2020-05-15 14:32:16,41.1533,20.1683,916.0,31.0,705.0,180.0,31.82987003961359,,,3.3842794759825328,8,ALB
Algeria,2020-05-15 14:32:16,28.0339,1.6596,6442.0,529.0,3158.0,2755.0,14.69064259201315,,,8.211735485873952,12,DZA
Andorra,2020-05-15 14:32:16,42.5063,1.5218,761.0,49.0,596.0,116.0,984.922021613926,,,6.438896189224704,20,AND
Angola,2020-05-15 14:32:16,-11.2027,17.8739,48.0,2.0,14.0,32.0,0.14604639626257535,,,4.166666666666667,24,AGO
Antigua and Barbuda,2020-05-15 14:32:16,17.0608,-61.7964,25.0,3.0,19.0,3.0,25.52896005228331,,,12.0,28,ATG
Argentina,2020-05-15 14:32:16,-38.4161,-63.6167,7134.0,353.0,2497.0,4284.0,15.784660588974939,,,4.9481356882534335,32,ARG
Armenia,2020-05-15 14:32:16,40.0691,45.0382,4044.0,52.0,1666.0,2326.0,136.4725161765828,,,1.2858555885262115,51,ARM
Azerbaijan,2020-05-15 14:32:16,40.1431,47.5769,2980.0,36.0,1886.0,1058.0,29.390951433425304,,,1.2080536912751678,31,AZE
Bahamas,2020-05-15 14:32:16,25.025885,-78.035889,96.0,11.0,41.0,44.0,24.412075840182275,,,11.458333333333336,44,BHS
Bahrain,2020-05-15 14:32:16,26.0275,50.55,6418.0,10.0,2637.0,3771.0,377.17819230681084,,,0.1558117793705204,48,BHR
Bangladesh,2020-05-15 14:32:16,23.685,90.3563,20065.0,298.0,3882.0,15885.0,12.183541910531053,,,1.4851731871417893,50,BGD
Barbados,2020-05-15 14:32:16,13.1939,-59.5432,85.0,7.0,65.0,13.0,29.5784891307752,,,8.235294117647058,52,BRB
Belarus,2020-05-15 14:32:16,53.7098,27.9534,27730.0,156.0,8807.0,18767.0,293.4602391007777,,,0.562567616300036,112,BLR
Belgium,2020-05-15 14:32:16,50.8333,4.469936,54644.0,8959.0,14301.0,31384.0,471.49103128179564,,,16.395212649147208,56,BEL
Belize,2020-05-15 14:32:16,17.1899,-88.4976,18.0,2.0,16.0,0.0,4.5269238797749605,,,11.111111111111109,84,BLZ
Benin,2020-05-15 14:32:16,9.3077,2.3158,339.0,2.0,83.0,254.0,2.7962918695215566,,,0.5899705014749262,204,BEN
Bhutan,2020-05-15 14:32:16,27.5142,90.4336,21.0,0.0,5.0,16.0,2.721575092144757,,,0.0,64,BTN
Bolivia,2020-05-15 14:32:16,-16.2902,-63.5887,3372.0,152.0,356.0,2864.0,28.88710376715418,,,4.507710557532621,68,BOL
Bosnia and Herzegovina,2020-05-15 14:32:16,43.9159,17.6791,2236.0,128.0,1336.0,772.0,68.15379715101278,,,5.7245080500894465,70,BIH
Botswana,2020-05-15 14:32:16,-22.3285,24.6849,24.0,1.0,17.0,6.0,1.0205708818370276,,,4.166666666666667,72,BWA
Brazil,2020-05-15 14:32:16,-14.235,-51.9253,206507.0,14131.0,79479.0,112897.0,97.15260358105343,,,6.8428673120039525,76,BRA
Brunei,2020-05-15 14:32:16,4.5353,114.7277,141.0,1.0,134.0,6.0,32.229823787438605,,,0.7092198581560284,96,BRN
Bulgaria,2020-05-15 14:32:16,42.7339,25.4858,2138.0,102.0,545.0,1491.0,30.769474321233023,,,4.770813844714686,100,BGR
Burkina Faso,2020-05-15 14:32:16,12.2383,-1.5616,773.0,51.0,592.0,130.0,3.697984593612543,,,6.597671410090556,854,BFA
Burma,2020-05-15 14:32:16,21.9162,95.956,181.0,6.0,84.0,91.0,0.3326606970796471,,,3.3149171270718236,104,MMR
Burundi,2020-05-15 14:32:16,-3.3731,29.9189,15.0,1.0,7.0,7.0,0.126148147880278,,,6.666666666666668,108,BDI
