Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-03 16:32:33,32.3182,-86.9023,7617,288,0,7329.0,1.0,162.4475862873507,92209.0,1023.0,3.7810161480897992,84000001,USA,1966.5392521951323,13.430484442693976
Alaska,US,2020-05-03 16:32:33,61.3707,-152.4044,365,9,261,95.0,2.0,61.06241917594174,21399.0,,2.4657534246575343,84000002,USA,3579.930706701308,
American Samoa,US,2020-05-03 16:32:33,-14.271,-170.132,0,0,0,0.0,60.0,0.0,57.0,,,16,ASM,102.44244352186337,
Arizona,US,2020-05-03 16:32:33,33.7298,-111.4312,8364,330,1565,6469.0,4.0,114.91036126284344,77997.0,1339.0,3.9454806312769013,84000004,USA,1071.5762132254902,16.00908656145385
Arkansas,US,2020-05-03 16:32:33,34.9697,-92.3731,3372,72,1987,1313.0,5.0,130.2419789364885,51582.0,414.0,2.1352313167259784,84000005,USA,1992.3314820587038,12.277580071174375
California,US,2020-05-03 16:32:33,36.1162,-119.6816,53671,2194,0,51477.0,6.0,136.88571543706462,686803.0,,4.087868681410818,84000006,USA,1751.663282206821,
Colorado,US,2020-05-03 16:32:33,39.0598,-105.3111,16225,832,2553,12840.0,8.0,286.31613571861294,76949.0,2747.0,5.127889060092451,84000008,USA,1357.8884639390785,16.9306625577812
Connecticut,US,2020-05-03 16:32:33,41.5978,-72.7554,29287,2436,4346,22505.0,9.0,821.4485958633907,100257.0,7758.0,8.317683613890122,84000009,USA,2812.031682161913,26.489568750640217
Delaware,US,2020-05-03 16:32:33,39.3185,-75.5071,5038,168,1546,3324.0,10.0,517.3738195291671,23112.0,,3.33465660976578,84000010,USA,2373.470368590336,
Diamond Princess,US,2020-05-03 16:32:33,,,49,0,0,49.0,88888.0,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-03 16:32:33,38.8974,-77.0268,5016,251,666,4099.0,11.0,710.7342695490889,22004.0,,5.003987240829347,84000011,USA,3117.8223419374312,
Florida,US,2020-05-03 16:32:33,27.7663,-81.6868,36078,1379,0,34699.0,12.0,169.9179083340029,416012.0,5945.0,3.822273961971285,84000012,USA,1959.307303116725,16.47818615222573
Georgia,US,2020-05-03 16:32:33,33.0406,-83.6431,28604,1180,0,27424.0,13.0,282.10761729030526,174800.0,5387.0,4.12529716123619,84000013,USA,1723.9690778333575,18.83303034540624
Grand Princess,US,2020-05-03 16:32:33,,,103,3,0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-05-03 16:32:33,13.4443,144.7937,145,5,131,9.0,66.0,88.29134927448868,3188.0,,3.4482758620689653,316,GUM,1941.1918723246201,
Hawaii,US,2020-05-03 16:32:33,21.0943,-157.4983,620,16,532,72.0,15.0,43.79192900621987,31985.0,72.0,2.5806451612903225,84000015,USA,2259.1691117160362,11.612903225806454
Idaho,US,2020-05-03 16:32:33,44.2405,-114.4788,2061,64,1215,782.0,16.0,127.97291767696557,29490.0,178.0,3.1052886948083454,84000016,USA,1831.1117623938446,8.63658418243571
Illinois,US,2020-05-03 16:32:33,40.3495,-88.9861,58505,2559,0,55946.0,17.0,498.5236015413885,299896.0,,4.373985129476114,84000017,USA,2555.426613244273,
Indiana,US,2020-05-03 16:32:33,39.8494,-86.2583,19934,1132,0,18802.0,18.0,304.6151937180872,104141.0,,5.678739841476872,84000018,USA,1591.3981583723944,
Iowa,US,2020-05-03 16:32:33,42.0115,-93.2105,9177,183,3156,5838.0,19.0,350.17188070574684,46349.0,,1.9941157240928409,84000019,USA,1768.5645089714135,
Kansas,US,2020-05-03 16:32:33,38.5266,-96.7265,4896,143,286,4467.0,20.0,200.7801555718134,34942.0,541.0,2.9207516339869284,84000020,USA,1432.937131533967,11.04983660130719
Kentucky,US,2020-05-03 16:32:33,37.6681,-84.6701,4879,248,1752,2879.0,21.0,142.52317133481904,57649.0,1411.0,5.083008813281411,84000021,USA,1684.0168690881292,28.9198606271777
Louisiana,US,2020-05-03 16:32:33,31.1695,-91.8678,29140,1993,17303,9844.0,22.0,633.8549912056428,172858.0,,6.8393960192175705,84000022,USA,3760.0173668436855,
Maine,US,2020-05-03 16:32:33,44.6939,-69.3819,1186,57,689,440.0,23.0,101.02163021313349,20698.0,181.0,4.8060708263069145,84000023,USA,1763.023357631903,15.261382799325464
Maryland,US,2020-05-03 16:32:33,39.0639,-76.8021,25462,1281,1590,22591.0,24.0,428.4126672987472,125522.0,4910.0,5.03102662791611,84000024,USA,2111.979217055744,19.28363836305082
Massachusetts,US,2020-05-03 16:32:33,42.2302,-71.5301,66263,3846,0,62417.0,25.0,965.4021141727901,298994.0,6378.0,5.804144092479966,84000025,USA,4356.117889696802,9.625281076920755
Michigan,US,2020-05-03 16:32:33,43.3266,-84.5361,43207,4021,15659,23527.0,26.0,542.3069590181517,201709.0,,9.306362394982292,84000026,USA,2531.7238965119627,
Minnesota,US,2020-05-03 16:32:33,45.6945,-93.9002,6232,394,2397,3441.0,27.0,125.9894477772526,79007.0,1159.0,6.322207958921695,84000027,USA,1597.2478017550382,18.597560975609763
Mississippi,US,2020-05-03 16:32:33,32.7416,-89.6787,7441,291,3413,3737.0,28.0,257.0110727872213,74475.0,1265.0,3.9107646821663753,84000028,USA,2572.355818549699,17.000403171616718
Missouri,US,2020-05-03 16:32:33,38.4561,-92.2884,8437,376,0,8061.0,29.0,143.98947615614827,82744.0,,4.456560388763778,84000029,USA,1412.1447451777094,
Montana,US,2020-05-03 16:32:33,46.9219,-110.4544,455,16,404,35.0,30.0,52.541204429165795,14635.0,61.0,3.5164835164835164,84000030,USA,1689.979179826025,13.406593406593409
Nebraska,US,2020-05-03 16:32:33,41.1254,-98.2681,5317,73,0,5244.0,31.0,348.5935623285552,29348.0,,1.37295467368817,84000031,USA,1924.1158298323185,
Nevada,US,2020-05-03 16:32:33,38.3135,-117.0554,5438,258,182,4998.0,32.0,180.2633807770552,44387.0,,4.74439132033836,84000032,USA,1471.3774701270959,
