,,,,,
"Name","State","2020 Population ","2020 Density","Latitude/Longitude","Estimated Unreported Cases"
"New York","New York","8,622,357","11,084/km²","40.66/-73.94",
"Los Angeles","California","4,085,014","3,365/km²","34.02/-118.41",
"Chicago","Illinois","2,670,406","4,535/km²","41.84/-87.68",
"Houston","Texas","2,378,146","1,443/km²","29.79/-95.39",
"Phoenix","Arizona","1,743,469","1,300/km²","33.57/-112.09",
"San Antonio","Texas","1,590,402","1,332/km²","29.47/-98.53",
"Philadelphia","Pennsylvania","1,579,504","4,545/km²","40.01/-75.13",
"San Diego","California","1,469,490","1,747/km²","32.82/-117.13",
"Dallas","Texas","1,400,337","1,590/km²","32.79/-96.77",
"San Jose","California","1,036,242","2,254/km²","37.30/-121.82",
"Austin","Texas","1,018,842","1,226/km²","30.30/-97.75",
"Jacksonville","Florida","934,439","483/km²","30.34/-81.66",
"Fort Worth","Texas","933,881","1,046/km²","32.78/-97.35",
"San Francisco","California","906,419","7,461/km²","37.73/-123.03",
"Charlotte","North Carolina","904,675","1,141/km²","35.21/-80.83",
"Columbus","Ohio","900,274","1,590/km²","39.98/-82.98",
"Indianapolis","Indiana","866,640","926/km²","39.78/-86.15",
"Seattle","Washington","787,740","3,628/km²","47.62/-122.35",
"Denver","Colorado","745,172","1,877/km²","39.76/-104.88",
"Washington Dc","District Of Columbia","724,342","4,574/km²","38.90/-77.02",
"Boston","Massachusetts","701,984","5,606/km²","42.34/-71.02",
"El Paso","Texas","701,120","1,052/km²","31.85/-106.43",
"Nashville","Tennessee","685,628","556/km²","36.17/-86.79",
"Portland","Oregon","676,831","1,958/km²","45.54/-122.65",
"Las Vegas","Nevada","674,768","1,933/km²","36.23/-115.26",
"Oklahoma City","Oklahoma","669,363","426/km²","35.47/-97.51",
"Detroit","Michigan","658,631","1,833/km²","42.38/-83.10",
"Memphis","Tennessee","645,769","786/km²","35.10/-89.98",
"Louisville","Kentucky","622,313","911/km²","38.17/-85.65",
"Baltimore","Maryland","587,712","2,803/km²","39.30/-76.61",
"Milwaukee","Wisconsin","577,583","2,319/km²","43.06/-87.97",
