"State","City","Military Quarantine Camps"
"Georgia","Atlanta","Dobbins Air Base"
"Illinois","Chicago","Great lakes Navy Base"
"Texas","Dallas","Naval Air Station"
"Michigan","Detroit","Fort Cluster Training Center"
"California","Fairfield","Travis Air Force Base"
"Colorado","Fort Carson","Fort Carson"
"Hawaii","Honolulu","JB Peral Harbor-Hickam"
"New York","New York","Fort Hamilton"
"New Jersey","Newark ","Joint Base McGuire-Dix-Lakehurst"
"Nebraska","Omaha","Camp Ashland"
"California","Riverside","March Air Reserve Base"
"Texas","San Antonio","Lackland Air Force Base"
"California","San Deigo","Marin Corps Air Station Miramar"
"Washington","Seattle","Naval Base Kitsap"
"Washington DC","Washington DC","Joint Base Anacostia"
