"US States","US States Quarantined"
"Alabama ",2
"Alaska",2
"Arizona",2
"Arkansas",2
"California",1
"Colorado",2
"Connecticut",1
"Delaware",1
"District of Columbia",2
"Florida",1
"Georgia",2
"Hawaii",2
"Idaho",2
"Illinois",1
"Indiana",1
"Iowa",2
"Kansas",2
"Kentucky",2
"Louisiana",1
"Maine",2
"Maryland",1
"Massachusetts",1
"Michigan",1
"Minnesota",2
"Mississippi",2
"Missouri",2
"Montana",2
"Nebraska",2
"Nevada",1
"New Hampshire",2
"New Jersey",1
"New Mexico",2
"New York",1
"North Carolina",2
"North Dakota",2
"Ohio",1
"Oklahoma",2
"Oregon",1
"Pennsylvania",1
"Rhode Island",1
"South Carolina",2
"South Dakota",2
"Tennessee",2
"Texas",1
"Utah",2
"Vermont",2
"Virginia",2
"Washington",2
"West Virginia",1
"Wisconsin",1
"Wyoming",2
