State: North Carolina
Profession: Physician Assistant
Specialty/PAOP: Physician Assistant
Variable: rate per 10k
"Notes: Data include active, licensed physician assistants in practice in North Carolina as of October 31 of each year. Physician"
" assistant data are derived from the North Carolina Medical Board. County estimates are based on primary practice location."
" Population census data and estimates are downloaded from the North Carolina Office of State Budget and Management via NC"
" LINC and are based on US Census data. Source: North Carolina Health Professions Data System, Program on Health Workforce"
" Research and Policy, Cecil G. Sheps Center for Health Services Research, University of North Carolina at Chapel Hill. Created"
" March 25, 2020 at https://nchealthworkforce.unc.edu/supply/."
county,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alamance,1.83,1.65,1.84,1.66,1.66,1.73,1.5,1.61,1.64,2.02,1.91,2.16,2.29,2.08,2.57,2.54,2.64,3.1,3.25
Alexander,1.49,1.77,1.16,1.13,1.42,2.81,2.48,2.18,2.44,2.14,2.15,2.4,2.41,1.07,1.06,1.32,1.57,1.56,1.55
Alleghany,4.68,3.72,4.6,4.55,3.67,1.83,1.82,1.8,0.9,0.89,0.9,0.9,0.91,1.81,1.8,1.79,1.79,1.78,1.78
Anson,1.19,1.18,1.96,2.34,2.36,1.55,1.18,1.58,1.18,1.19,0.74,0.77,0.75,0.76,1.13,1.15,0.78,0.39,0.39
Ashe,1.23,1.21,1.2,1.19,1.97,1.58,1.55,1.92,2.28,1.51,1.1,1.09,1.1,1.46,1.46,1.1,1.1,2.2,2.57
Avery,1.17,1.13,0.56,0,0,0.55,0.55,0.55,0.54,0.55,0,0,0,0.56,0.56,1.12,0.55,1.66,2.21
Beaufort,2.22,2.21,1.98,1.75,2.18,2.17,1.94,1.74,1.72,1.9,1.88,2.09,2.3,2.93,3.35,4.18,3.99,3.79,4.43
Bertie,3.03,3.53,4.05,3.05,3.04,4.06,4.13,4.01,4.48,4.48,4.22,3.83,3.87,2.91,2.43,2.44,3.02,2.01,2.52
Bladen,1.86,1.85,1.83,1.81,2.11,2.41,3.04,3.08,2.8,3.12,2.55,2.28,2.27,2.27,1.99,1.43,1.15,2.04,2.05
Brunswick,2.19,2.73,2.79,2.6,2.75,3.19,2.74,2.92,2.43,2.43,2.68,2.81,2.93,3.02,3.99,3.8,3.99,3.64,3.99
Buncombe,4.17,4.46,4.43,4.64,4.69,5.52,5.6,5.9,5.84,6.08,6.36,6.36,6.6,6.15,7.88,8.75,9.37,9.98,10.65
Burke,2.02,2.02,1.88,2.07,2.33,2.36,2.26,2.37,2.58,2.45,2.64,2.65,2.67,3.24,3.59,4.38,4.12,4.43,4.29
Cabarrus,1.37,1.25,1.65,1.81,1.7,2.13,2.1,2.49,2.58,3.1,3.07,2.92,3.05,3.43,3.82,3.58,4.04,4.04,4.82
Caldwell,1.16,1.16,1.41,1.52,1.65,1.52,1.39,1.01,0.87,1.25,1.08,1.08,1.09,1.09,1.09,1.33,1.69,1.68,2.14
Camden,0,0,0,0,0,0,0,1.05,1.04,0,0,0,0,0,0,0,0,0,0
Carteret,1.68,2.18,1.99,2.47,2.78,2.56,2.36,3,3.62,3.86,3.45,4.14,3.95,3.9,4.61,4.3,4.44,4.56,4.25
