county,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alamance,1.59,1.3,1.93,1.89,1.99,1.95,1.91,1.51,1.57,1.5,1.41,1.52,1.7,1.55,1.72,1.53
Alexander,0.28,0.84,1.38,1.09,1.62,2.68,3.22,2.66,3.21,3.74,3.7,2.9,2.87,3.12,2.85,2.85
Alleghany,4.58,3.67,2.73,2.71,3.61,4.45,6.27,6.32,6.38,5.43,5.41,6.26,8.03,8.9,4.44,4.36
Anson,3.55,3.48,3.15,3.95,3.94,3.18,2.97,3.1,2.25,2.66,3.02,1.91,2.34,1.56,2.34,2.37
Ashe,2.76,3.96,3.49,3.85,4.18,3.4,3.29,3.28,3.65,2.92,3.28,2.93,4.02,3.31,3.3,2.87
Avery,3.29,3.3,3.3,2.73,2.71,2.73,2.25,2.24,3.38,2.8,2.79,2.81,2.21,2.77,2.76,2.22
Beaufort,3.93,3.91,3.45,4.12,4.51,4.43,3.96,4.6,4.59,3.56,3.35,3.14,2.94,3.15,3.37,3.16
Bertie,2.03,1.52,1.55,2,1.99,2.49,2.35,2.39,2.9,2.43,2.43,2.44,2.52,2.51,2.52,2.55
Bladen,4.23,3.92,3.35,4.62,4.35,4.06,3.4,2.56,2.56,3.12,3.42,2.86,2.6,3.2,2.64,2.32
Brunswick,2.27,2.05,2.84,2.21,2.14,2.24,2.31,2.27,2.31,2.07,2.12,1.78,2.11,1.97,1.99,1.97
Buncombe,7.52,7.17,7.27,7.05,7.2,7.77,7.53,7.05,7.29,6.59,6.69,6.95,6.77,6.88,6.65,6.25
Burke,2.33,2.13,2.37,2.37,3.02,3.23,3.3,2.76,3.33,2.79,3.14,2.81,2.89,2.77,2.86,2.94
Cabarrus,3.47,3.46,4.2,4.14,3.93,4.02,3.8,3.92,3.92,3.86,3.98,3.99,4.04,4.38,4.48,4.18
Caldwell,2.16,2.28,2.14,2.52,1.87,2.37,2.77,3.01,2.78,2.91,3.03,2.42,2.29,2.4,2.74,2.04
Camden,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0
Carteret,4.91,5.93,6.92,6.48,5.98,5.87,5.85,5.91,5.27,5.34,5.77,5.16,5.29,5.56,5.66,6.46
