,worldbank_stats_by_country_2015-2019.csv column names
0,Income share held by second 20% 2015
1,Income share held by second 20% 2016
2,Income share held by second 20% 2017
3,Income share held by second 20% 2018
4,Income share held by second 20% 2019
5,Income share held by third 20% 2015
6,Income share held by third 20% 2016
7,Income share held by third 20% 2017
8,Income share held by third 20% 2018
9,Income share held by third 20% 2019
10,Income share held by fourth 20% 2015
11,Income share held by fourth 20% 2016
12,Income share held by fourth 20% 2017
13,Income share held by fourth 20% 2018
14,Income share held by fourth 20% 2019
15,Income share held by highest 20% 2015
16,Income share held by highest 20% 2016
17,Income share held by highest 20% 2017
18,Income share held by highest 20% 2018
19,Income share held by highest 20% 2019
20,Income share held by highest 10% 2015
21,Income share held by highest 10% 2016
22,Income share held by highest 10% 2017
23,Income share held by highest 10% 2018
24,Income share held by highest 10% 2019
25,Income share held by lowest 10% 2015
26,Income share held by lowest 10% 2016
27,Income share held by lowest 10% 2017
28,Income share held by lowest 10% 2018
29,Income share held by lowest 10% 2019
30,Income share held by lowest 20% 2015
31,Income share held by lowest 20% 2016
32,Income share held by lowest 20% 2017
33,Income share held by lowest 20% 2018
34,Income share held by lowest 20% 2019
35,"Multidimensional poverty, Educational attainment (% of population deprived) 2015"
36,"Multidimensional poverty, Educational attainment (% of population deprived) 2016"
37,"Multidimensional poverty, Educational attainment (% of population deprived) 2017"
38,"Multidimensional poverty, Educational attainment (% of population deprived) 2018"
39,"Multidimensional poverty, Educational attainment (% of population deprived) 2019"
40,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) 2015
41,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) 2016
42,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) 2017
43,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) 2018
44,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) 2019
45,"Poverty headcount ratio at $1.90 a day, age 0-14  (2011 PPP) (% of population age 0-14) 2015"
46,"Poverty headcount ratio at $1.90 a day, age 0-14  (2011 PPP) (% of population age 0-14) 2016"
47,"Poverty headcount ratio at $1.90 a day, age 0-14  (2011 PPP) (% of population age 0-14) 2017"
48,"Poverty headcount ratio at $1.90 a day, age 0-14  (2011 PPP) (% of population age 0-14) 2018"
49,"Poverty headcount ratio at $1.90 a day, age 0-14  (2011 PPP) (% of population age 0-14) 2019"
50,"Poverty headcount ratio at $1.90 a day, age 15-64 (2011 PPP) (% of population age 15-64) 2015"
51,"Poverty headcount ratio at $1.90 a day, age 15-64 (2011 PPP) (% of population age 15-64) 2016"
52,"Poverty headcount ratio at $1.90 a day, age 15-64 (2011 PPP) (% of population age 15-64) 2017"
