Country,Date,Confirmed
World,2020-01-23,783.5307573185419
World,2020-01-24,-512.4314907765511
World,2020-01-25,-214.63559282671486
World,2020-01-26,1046.3713870697684
World,2020-01-27,2808.080521573822
World,2020-01-28,4757.840925721874
World,2020-01-29,6711.389867522332
World,2020-01-30,8589.361604199541
World,2020-01-31,10393.003865648541
World,2020-02-01,12180.246549208518
World,2020-02-02,14043.144323310655
World,2020-02-03,16087.560036678304
World,2020-02-04,18415.777148779845
World,2020-02-05,21112.535057281813
World,2020-02-06,24234.780001527164
World,2020-02-07,27805.22442606301
World,2020-02-08,31809.61774089682
World,2020-02-09,36197.45832574973
World,2020-02-10,40885.727244048845
World,2020-02-11,45765.10336907962
World,2020-02-12,50708.03112322156
World,2020-02-13,55577.96166688003
World,2020-02-14,60239.064879682905
World,2020-02-15,64565.736427725846
World,2020-02-16,68451.26932005875
World,2020-02-17,71815.14326215372
World,2020-02-18,74608.49107366925
World,2020-02-19,76817.42731125877
World,2020-02-20,78464.06307868834
World,2020-02-21,79605.17604377147
World,2020-02-22,80328.64872504177
World,2020-02-23,80747.92435914456
World,2020-02-24,80994.85125249543
World,2020-02-25,81211.38789701581
World,2020-02-26,81540.7168812097
World,2020-02-27,82118.36218237804
World,2020-02-28,83063.9189258638
World,2020-02-29,84473.9860521275
World,2020-03-01,86416.84069831338
World,2020-03-02,88929.31078852311
World,2020-03-03,92016.18842992513
World,2020-03-04,95652.39941412612
World,2020-03-05,99787.98180957028
World,2020-03-06,104355.76977094094
World,2020-03-07,109281.5074578849
World,2020-03-08,114495.95359132125
World,2020-03-09,119948.38357632258
World,2020-03-10,125620.76150016807
World,2020-03-11,131541.74563181173
World,2020-03-12,137799.6148826799
World,2020-03-13,144553.16505239753
World,2020-03-14,152039.62667598604
World,2020-03-15,160578.7033144284
World,2020-03-16,170571.9208815738
World,2020-03-17,182496.61415615107
World,2020-03-18,196894.05310484668
World,2020-03-19,214351.42458197655
World,2020-03-20,235477.62809730746
World,2020-03-21,260873.10982105276
World,2020-03-22,291094.2390439703
World,2020-03-23,326613.01186803327
World,2020-03-24,367773.1455029334
World,2020-03-25,414743.88201742724
World,2020-03-26,467473.05007850425
World,2020-03-27,525641.1224764122
World,2020-03-28,588618.1478281568
World,2020-03-29,655425.5181278468
World,2020-03-30,724704.553073276
World,2020-03-31,794693.8323669109
World,2020-04-01,863217.0857443676
World,2020-04-02,927683.2567719008
World,2020-04-03,985100.0925672298
World,2020-04-04,1032102.2818015483
World,2020-04-05,1064994.7747818783
World,2020-04-06,1079811.4810344814
World,2020-04-07,1072389.0631887387
