Country,Date,Confirmed
World,2020-01-23,43337.53483887654
World,2020-01-24,26288.612095786593
World,2020-01-25,34114.304764181165
World,2020-01-26,40214.5758113129
World,2020-01-27,46715.44307281314
World,2020-01-28,17225.628593261416
World,2020-01-29,66463.62068755759
World,2020-01-30,62361.20628971813
World,2020-01-31,50327.9673478793
World,2020-02-01,35030.48548877273
World,2020-02-02,38665.57620805543
World,2020-02-03,27709.059281593447
World,2020-02-04,72597.20010871874
World,2020-02-05,9929.956988356176
World,2020-02-06,44148.30923219577
World,2020-02-07,27209.920303438186
World,2020-02-08,35161.210862339
World,2020-02-09,41404.19538715538
World,2020-02-10,48067.22217598219
World,2020-02-11,18761.660490425045
World,2020-02-12,68209.00550736685
World,2020-02-13,64344.459316514054
World,2020-02-14,52581.48248360707
World,2020-02-15,37591.06125939553
World,2020-02-16,41575.012650367265
World,2020-02-17,31014.835129994255
World,2020-02-18,76353.24091536357
World,2020-02-19,14197.506164781074
World,2020-02-20,48996.915518997695
World,2020-02-21,32718.556862967784
World,2020-02-22,41419.543064838195
World,2020-02-23,48514.016435490965
World,2020-02-24,56144.07799900151
World,2020-02-25,27936.68783752013
World,2020-02-26,78631.00990599519
World,2020-02-27,76182.26249690357
World,2020-02-28,66026.57203171003
World,2020-02-29,52860.57858570061
World,2020-03-01,58915.11883964756
World,2020-03-02,50704.497776804565
World,2020-03-03,98708.4885583267
World,2020-03-04,39576.20027906941
World,2020-03-05,77804.09300159659
World,2020-03-06,65412.398300847766
World,2020-03-07,78518.02345304014
World,2020-03-08,90602.29497045334
World,2020-03-09,103882.6815794585
World,2020-03-10,82070.53776485901
World,2020-03-11,139999.33338563362
World,2020-03-12,145729.41659576463
World,2020-03-13,144813.7883991935
World,2020-03-14,142078.60962656944
World,2020-03-15,159897.7285145949
World,2020-03-16,164942.69049800275
World,2020-03-17,227865.3052389704
World,2020-03-18,185501.82881892813
World,2020-03-19,242550.93874572817
World,2020-03-20,251249.63595262045
World,2020-03-21,287945.2785776053
World,2020-03-22,326360.62301063805
World,2020-03-23,368963.3131999571
World,2020-03-24,379719.2634171182
World,2020-03-25,473715.3186795198
World,2020-03-26,519256.80706989695
World,2020-03-27,562124.273611405
World,2020-03-28,607342.9833128082
World,2020-03-29,677444.4394419518
World,2020-03-30,739201.4699347847
World,2020-03-31,863294.2275500093
World,2020-04-01,858407.6474893064
World,2020-04-02,953531.4716442388
World,2020-04-03,1000633.1660444847
World,2020-04-04,1075744.8117449435
World,2020-04-05,1152227.614480331
World,2020-04-06,1232140.5893968067
World,2020-04-07,1278995.5621016717
World,2020-04-08,1407383.053844567
World,2020-04-09,1485075.2006469814
World,2020-04-10,1557290.2811510442
World,2020-04-11,1628472.6611741409
World,2020-04-12,1720567.5170231638
World,2020-04-13,1799771.8571437933
World,2020-04-14,1936218.9581252348
World,2020-04-15,1966185.2979165684
World,2020-04-16,2093772.1758522
World,2020-04-17,2170586.157747387
World,2020-04-18,2272316.279285495
World,2020-04-19,2372006.2008261974
World,2020-04-20,2471430.2824052977
World,2020-04-21,2533855.450397071
World,2020-04-22,2673673.162310199
World,2020-04-23,2758507.3804933205
